gene,log2_fold_change,p_value,adjusted_p_value,gene_class,label
GENE0484,0.7527,7.617e-02,1.271e-01,other,
GENE0485,-1.5494,6.394e-03,2.959e-02,other,
GENE0486,-0.3624,3.555e-01,1.000e+00,immune,
GENE0487,-1.2616,2.994e-03,4.660e-03,other,
GENE0488,1.034,1.344e-02,9.327e-02,other,
GENE0489,0.4564,1.148e-01,6.085e-01,other,
GENE0490,0.1738,4.715e-01,1.000e+00,other,
GENE0491,1.3195,9.933e-04,7.624e-03,other,
GENE0492,1.2304,1.354e-02,8.223e-02,other,
GENE0493,0.2986,7.851e-02,5.666e-01,other,
GENE0494,0.5195,3.607e-03,2.406e-02,metabolic,
GENE0495,-0.0575,4.609e-01,7.521e-01,immune,
GENE0496,0.4138,1.009e-01,4.587e-01,other,
GENE0497,-1.0053,8.984e-03,4.546e-02,other,
GENE0498,-0.4492,3.901e-02,1.798e-01,other,
GENE0499,2.2055,2.373e-03,8.881e-03,other,
GENE0500,0.6263,2.506e-01,1.000e+00,other,
