journal,paper_id,year,DOI,figure_number,panel,representation,number_of_groups,approximate_n_per_group,raw_points_visible,summary,summary_source,error,error_source,marker_size_relative,marker_edge,marker_fill,jitter_style,bar_width,box_width,palette_type,control_color_behavior,statistical_annotation,p_display,axis_style,legend_style,n_label,zero_baseline,physical_panel_size,confidence_of_measurement,notes,image_path,reviewer,journal_family,n_class
Cancer Cell,PMC13471043,2026,10.1016/j.ccell.2026.06.022,4,H_CD4,violin+points,4,~200 each,yes,median,inferred,IQR_whiskers,inferred,small,none,filled,jitter,na,narrow,multi_categorical,na,p_value_only,exact,LB,outside,none,yes,small,high,single-cell expression violins with points inside; paired CD4 and CD8 sub-panels; exact p stacked above,PRIVATE_REFERENCE_ONLY/corpus/PMC13471043/figures/Fig4.jpg,gc_cell,Cell,large
Cancer Cell,PMC13471043,2026,10.1016/j.ccell.2026.06.022,4,L,dot_strip+summary,~24,~20 each,yes,mean,inferred,SEM,inferred,small,dark,filled,jitter,na,na,multi_categorical,black,stars_only,stars,LB,none,none,yes,large,high,long row of jittered point clouds per bile acid with black mean line and SD; dashed baseline; stars above each group,PRIVATE_REFERENCE_ONLY/corpus/PMC13471043/figures/Fig4.jpg,gc_cell,Cell,medium
Cancer Cell,PMC13471043,2026,10.1016/j.ccell.2026.06.022,4,M,dot_strip+summary,2x3,~20 each,yes,mean,inferred,SEM,inferred,small,dark,filled,jitter,na,na,multi_categorical,black,p_value_only,exact,LB,none,below_category,yes,small,high,three receptor-knockout blocks each Ctl- vs Ctl+GDCA; exact p above each block,PRIVATE_REFERENCE_ONLY/corpus/PMC13471043/figures/Fig4.jpg,gc_cell,Cell,medium
Cell Reports,PMC13506674,2026,10.1016/j.celrep.2026.117782,2,A,box+points,3,~10 each,yes,median,inferred,IQR_whiskers,inferred,medium,dark,filled,centered,na,medium,multi_categorical,coloured,bracket+stars,stars,LB,none,none,no,medium,high,full black axis frame; orange/olive/blue boxes with dashed grey mean line inside; paired points joined by thin grey lines across categories; three stacked * brackets,PRIVATE_REFERENCE_ONLY/corpus/PMC13506674/figures/Fig2.webp,gc_cell,Cell,small
Cell Reports,PMC13506674,2026,10.1016/j.celrep.2026.117782,2,B,box+points,3,~10 each,yes,median,inferred,IQR_whiskers,inferred,medium,dark,filled,centered,na,medium,multi_categorical,coloured,bracket+stars,stars,LB,none,none,no,medium,high,FDT violations version of A,PRIVATE_REFERENCE_ONLY/corpus/PMC13506674/figures/Fig2.webp,gc_cell,Cell,small
Cell Reports,PMC13506674,2026,10.1016/j.celrep.2026.117782,4,A,box+points,2,~6/~11,yes,median,inferred,IQR_whiskers,inferred,medium,dark,filled,centered,na,medium,multi_categorical,coloured,bracket+stars,stars,box,none,none,no,medium,high,orange UWS vs blue MCS; dashed grey mean line inside the box; *** over a bracket; black panel frame,PRIVATE_REFERENCE_ONLY/corpus/PMC13506674/figures/Fig4.webp,gc_cell,Cell,medium
Cell Reports,PMC13506674,2026,10.1016/j.celrep.2026.117782,4,B,box+points,2,~6/~11,yes,median,inferred,IQR_whiskers,inferred,medium,dark,filled,centered,na,medium,multi_categorical,coloured,bracket+stars,stars,box,none,none,no,medium,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC13506674/figures/Fig4.webp,gc_cell,Cell,medium
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,2,B_male,bar,4,caption:5,no,unknown,none,none,none,na,na,na,na,wide,na,multi_categorical,na,none,none,LB,outside,in_caption,yes,small,high,100% stacked bars of pathological grade (healthy/mild/medium/severe) in blue-to-orange ramp; legend right; rotated genotype labels,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig2.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,2,B_female,bar,4,caption:5,no,unknown,none,none,none,na,na,na,na,wide,na,multi_categorical,na,none,none,LB,outside,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig2.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,2,C_male,bar+points,4,5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,mixed,LB,none,in_caption,yes,small,high,"olive bars, the knockout bars filled with a dotted texture; black points; ns and ** over four stacked brackets",PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig2.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,2,C_female,bar+points,4,5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,ns_text,LB,none,in_caption,yes,small,high,purple palette for females; all ns,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig2.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,2,E_CD45R_male,bar+points,4,5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,mixed,LB,none,in_caption,yes,small,high,"ns, ** and *** over stacked brackets",PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig2.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,2,E_CD3_male,bar+points,4,5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,ns_text,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig2.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,2,E_CD45R_female,bar+points,4,5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,mixed,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig2.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,2,E_CD3_female,bar+points,4,5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,mixed,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig2.webp,gc_cell,Cell,small
Cell Reports,PMC13506676,2026,10.1016/j.celrep.2026.117776,6,A,dot_strip+summary,5x2,~30-60 each,yes,mean,inferred,SD,inferred,small,none,filled,jitter,na,na,multi_categorical,na,line+stars,stars,LB,outside,below_category,yes,medium,high,"five protein blocks separated by dotted vertical lines, WT left and waplD right in each; points coloured per protein with black mean line and SD caps; **** over a line above each block; legend right",PRIVATE_REFERENCE_ONLY/corpus/PMC13506676/figures/Fig6.webp,gc_cell,Cell,large
Cell Reports,PMC13506676,2026,10.1016/j.celrep.2026.117776,6,J,bar,8x2,unknown,no,unknown,none,none,none,na,na,na,na,narrow,na,multi_categorical,na,none,none,box,above,none,yes,small,medium,paired blue (WT) and orange (waplD) bars per focus count; light horizontal gridlines; spreadsheet-style axes,PRIVATE_REFERENCE_ONLY/corpus/PMC13506676/figures/Fig6.webp,gc_cell,Cell,unknown
Cell Reports,PMC13506676,2026,10.1016/j.celrep.2026.117776,6,K,bar,7x2,unknown,no,unknown,none,none,none,na,na,na,na,narrow,na,multi_categorical,na,none,none,box,above,none,yes,small,medium,same style as J for all bivalents,PRIVATE_REFERENCE_ONLY/corpus/PMC13506676/figures/Fig6.webp,gc_cell,Cell,unknown
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,3,A_male,bar,4,caption:5,no,unknown,none,none,none,na,na,na,na,wide,na,multi_categorical,na,none,none,LB,outside,in_caption,yes,small,high,100% stacked pathological-grade bars (blue healthy to orange severe) with light horizontal gridlines; legend right; rotated genotype labels,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig3.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,3,A_female,bar,4,caption:5,no,unknown,none,none,none,na,na,na,na,wide,na,multi_categorical,na,none,none,LB,outside,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig3.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,3,B_male,bar+points,4,5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,mixed,LB,none,in_caption,yes,small,high,"pale olive bars, knockout bars with dotted texture; black points; ns and ** over four stacked brackets",PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig3.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,3,B_female,bar+points,4,5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,mixed,LB,none,in_caption,yes,small,high,"purple palette; ns, *** and **",PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig3.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,3,C_male,bar+points,4,5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,mixed,LB,none,in_caption,yes,small,high,F480 area; ns and ** brackets,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig3.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,3,D_male,bar+points,4,5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,mixed,LB,none,in_caption,yes,small,high,Ki67; y axis 0-80,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig3.webp,gc_cell,Cell,small
Cancer Cell,PMC13471043,2026,10.1016/j.ccell.2026.06.022,7,H_right,dot_strip+summary,2x3,~25 each,yes,median,inferred,none,none,small,none,filled,jitter,na,na,multi_categorical,na,bracket+p_value,exact,LB,above,none,no,small,high,paired log10 points joined by thin lines across three time bins for PFS>=6 (blue) and PFS<6 (orange); exact p values (italic) over stacked brackets; log y axis,PRIVATE_REFERENCE_ONLY/corpus/PMC13471043/figures/Fig7.jpg,gc_cell,Cell,medium
Cell reports,PMC12727680,2025,10.1016/j.celrep.2025.116604,3,A_MDA,bar,4x3,unknown,no,mean,inferred,SEM,inferred,na,na,na,na,narrow,na,single_accent,na,bracket+stars,stars,LB,inside,none,yes,small,high,three cell-line panels; four treatments repeated at 24/72/120 h in three purple shades; SEM caps; stacked brackets with * and **; legend inside top-left; rotated treatment labels,../make_my_plot/figure_library/cell/2025_Giuntini_myc_inhibition_by_omomyc_causes_dna_dama/figures/fig03_fig3.jpg,gc_cell,Cell,unknown
Cell reports,PMC12727680,2025,10.1016/j.celrep.2025.116604,3,A_MX1,bar,4x3,unknown,no,mean,inferred,SEM,inferred,na,na,na,na,narrow,na,single_accent,na,bracket+stars,stars,LB,inside,none,yes,small,high,,../make_my_plot/figure_library/cell/2025_Giuntini_myc_inhibition_by_omomyc_causes_dna_dama/figures/fig03_fig3.jpg,gc_cell,Cell,unknown
Cell reports,PMC12727680,2025,10.1016/j.celrep.2025.116604,3,A_SUM149,bar,4x3,unknown,no,mean,inferred,SEM,inferred,na,na,na,na,narrow,na,single_accent,na,bracket+stars,stars,LB,inside,none,yes,small,high,,../make_my_plot/figure_library/cell/2025_Giuntini_myc_inhibition_by_omomyc_causes_dna_dama/figures/fig03_fig3.jpg,gc_cell,Cell,unknown
iScience,PMC12767183,2025,10.1016/j.isci.2025.113948,3,A,box+points,2x3,~15 each,yes,median,inferred,IQR_whiskers,inferred,small,dark,filled,jitter,na,medium,multi_categorical,coloured,stars_only,stars,LB,outside,none,yes,small,high,orange dog-owning vs blue non-dog-owning boxes at 4/5/6 weeks with colour-matched jittered points; * above the significant week; legend right of the figure,../make_my_plot/figure_library/cell/2025_Miyauchi_dog_ownership_during_adolescence_alters_/figures/fig03_fig3.jpg,gc_cell,Science,medium
iScience,PMC12767183,2025,10.1016/j.isci.2025.113948,3,B,box+points,2x3,~15 each,yes,median,inferred,IQR_whiskers,inferred,small,dark,filled,jitter,na,medium,multi_categorical,coloured,stars_only,stars,LB,outside,none,no,small,high,distance; y axis does not start at zero,../make_my_plot/figure_library/cell/2025_Miyauchi_dog_ownership_during_adolescence_alters_/figures/fig03_fig3.jpg,gc_cell,Science,medium
iScience,PMC12767183,2025,10.1016/j.isci.2025.113948,3,C,box+points,2x3,~15 each,yes,median,inferred,IQR_whiskers,inferred,small,dark,filled,jitter,na,medium,multi_categorical,coloured,stars_only,stars,LB,outside,none,yes,small,high,* and ** above weeks 5 and 6,../make_my_plot/figure_library/cell/2025_Miyauchi_dog_ownership_during_adolescence_alters_/figures/fig03_fig3.jpg,gc_cell,Science,medium
iScience,PMC12767183,2025,10.1016/j.isci.2025.113948,3,D,box+points,2x3,~15 each,yes,median,inferred,IQR_whiskers,inferred,small,dark,filled,jitter,na,medium,multi_categorical,coloured,stars_only,stars,LB,outside,none,yes,small,high,** at all three weeks,../make_my_plot/figure_library/cell/2025_Miyauchi_dog_ownership_during_adolescence_alters_/figures/fig03_fig3.jpg,gc_cell,Science,medium
iScience,PMC12767183,2025,10.1016/j.isci.2025.113948,3,E,box+points,2x3,~15 each,yes,median,inferred,IQR_whiskers,inferred,small,dark,filled,jitter,na,medium,multi_categorical,coloured,stars_only,stars,LB,outside,none,yes,small,high,,../make_my_plot/figure_library/cell/2025_Miyauchi_dog_ownership_during_adolescence_alters_/figures/fig03_fig3.jpg,gc_cell,Science,medium
iScience,PMC12767183,2025,10.1016/j.isci.2025.113948,3,F,box+points,2x3,~15 each,yes,median,inferred,IQR_whiskers,inferred,small,dark,filled,jitter,na,medium,multi_categorical,coloured,none,none,LB,outside,none,yes,small,high,tail suspension; no significant marks,../make_my_plot/figure_library/cell/2025_Miyauchi_dog_ownership_during_adolescence_alters_/figures/fig03_fig3.jpg,gc_cell,Science,medium
Cell Reports,PMC13506676,2026,10.1016/j.celrep.2026.117776,2,D_right,dot_strip+summary,2,~20/~30,yes,mean,inferred,SD,inferred,medium,none,filled,jitter,na,na,multi_categorical,coloured,line+stars,stars,LB,none,none,yes,small,high,blue WT vs red waplD point clouds with black mean line and SD caps; **** over a thick line; axis labels in bold serif-free caps,PRIVATE_REFERENCE_ONLY/corpus/PMC13506676/figures/Fig2.webp,gc_cell,Cell,large
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,4,B_right,bar+points,4,3-5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,ns_text,LB,none,in_caption,yes,small,high,pale olive bars with dotted texture for knockouts; black points; four ns brackets,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig4.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,4,C_bottom,bar+points,4,5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,mixed,LB,none,in_caption,yes,small,high,p21 positive cells; ns and ** over brackets,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig4.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,4,D_bottom,bar,4,caption:5,no,unknown,none,none,none,na,na,na,na,wide,na,multi_categorical,na,none,none,LB,outside,in_caption,yes,small,high,100% stacked bars of p16 expression categories (blue / pale orange / orange); legend right,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig4.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,4,E_TBK1,bar+points,4,4-5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,ns_text,LB,none,in_caption,yes,small,high,three western-quantification panels beside the blots; all ns,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig4.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,4,E_pTBK1,bar+points,4,4-5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,ns_text,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig4.webp,gc_cell,Cell,small
Cell Reports,PMC13506677,2026,10.1016/j.celrep.2026.117786,4,E_IRF3,bar+points,4,5 each,yes,mean,caption,SEM,caption,medium,none,filled,centered,medium,na,single_accent,coloured,bracket+stars,mixed,LB,none,in_caption,yes,small,high,* and ns over four brackets,PRIVATE_REFERENCE_ONLY/corpus/PMC13506677/figures/Fig4.webp,gc_cell,Cell,small
iScience,PMC12767183,2025,10.1016/j.isci.2025.113948,2,B_chao1,box+violin+points,2,caption:96/247,yes,median,inferred,IQR_whiskers,inferred,small,dark,filled,jitter,na,narrow,multi_categorical,coloured,none,none,LB,none,below_category,yes,small,high,blue vs orange violins with a small white box inside and colour-matched jittered points; No/Yes category labels,../make_my_plot/figure_library/cell/2025_Miyauchi_dog_ownership_during_adolescence_alters_/figures/fig02_fig2.jpg,gc_cell,Science,large
iScience,PMC12767183,2025,10.1016/j.isci.2025.113948,2,B_shannon,box+violin+points,2,caption:96/247,yes,median,inferred,IQR_whiskers,inferred,small,dark,filled,jitter,na,narrow,multi_categorical,coloured,none,none,LB,none,below_category,no,small,high,,../make_my_plot/figure_library/cell/2025_Miyauchi_dog_ownership_during_adolescence_alters_/figures/fig02_fig2.jpg,gc_cell,Science,large
iScience,PMC12767183,2025,10.1016/j.isci.2025.113948,2,D,bar,12,unknown,no,mean,inferred,CI,inferred,na,na,na,na,medium,na,single_accent,na,none,none,LB,above,none,yes,small,high,horizontal blue log-fold-change bars with error bars extending left from zero; genus labels on the right; dashed axis limit,../make_my_plot/figure_library/cell/2025_Miyauchi_dog_ownership_during_adolescence_alters_/figures/fig02_fig2.jpg,gc_cell,Science,unknown
Cell reports,PMC12727680,2025,10.1016/j.celrep.2025.116604,5,D,dot_strip+summary,4,~10 each,yes,mean,caption,SD,caption,medium,none,filled,jitter,na,na,multi_categorical,grey,bracket+stars,stars,LB,none,in_caption,yes,small,high,grey vehicle then three green shades; square markers; black mean line with SD; four stacked brackets,../make_my_plot/figure_library/cell/2025_Giuntini_myc_inhibition_by_omomyc_causes_dna_dama/figures/fig05_fig5.jpg,gc_cell,Cell,small
Cell reports,PMC12727680,2025,10.1016/j.celrep.2025.116604,5,E,dot_strip+summary,4,~10 each,yes,mean,caption,SD,caption,medium,none,filled,jitter,na,na,multi_categorical,grey,bracket+stars,mixed,LB,none,in_caption,yes,small,high,includes a printed p=0.11 alongside stars,../make_my_plot/figure_library/cell/2025_Giuntini_myc_inhibition_by_omomyc_causes_dna_dama/figures/fig05_fig5.jpg,gc_cell,Cell,small
Cell reports,PMC12727680,2025,10.1016/j.celrep.2025.116604,5,F,bar,4,unknown,no,mean,caption,SD,caption,na,na,na,na,medium,na,multi_categorical,grey,bracket+stars,stars,LB,none,in_caption,yes,small,high,grey and green bars with SD caps; five stacked brackets,../make_my_plot/figure_library/cell/2025_Giuntini_myc_inhibition_by_omomyc_causes_dna_dama/figures/fig05_fig5.jpg,gc_cell,Cell,unknown
Cell reports,PMC12727680,2025,10.1016/j.celrep.2025.116604,5,G,bar,4,unknown,no,mean,caption,SD,caption,na,na,na,na,medium,na,multi_categorical,grey,bracket+stars,mixed,LB,none,in_caption,yes,small,high,printed 0.1 alongside stars,../make_my_plot/figure_library/cell/2025_Giuntini_myc_inhibition_by_omomyc_causes_dna_dama/figures/fig05_fig5.jpg,gc_cell,Cell,unknown
iScience,PMC12752747,2025,10.1016/j.isci.2025.114249,3,A,bar+points,19,3 each,yes,mean,inferred,SD,inferred,medium,dark,open,centered,medium,na,greys,grey,stars_only,stars,LB,none,none,yes,medium,high,"horizontal grey bars with open circle replicates; 16 of 19 mutants annotated ""ND"" with no bar; * beside two mutant bars",../make_my_plot/figure_library/cell/2025_Matake_ent3_a_lysosomal_urate_transporter_regul/figures/fig03_fig3.jpg,gc_cell,Science,small
Nature Biotechnology,PMC13050621,2026,10.1038/s41587-025-02833-3,3,d,bar+points,3x7,2/3/3,yes,mean,caption,SD,caption,small,dark,open,centered,wide,na,multi_categorical,coloured,none,none,LB,inside,in_caption,yes,medium,high,Grouped FPKM bars for 7 pluripotency genes x 3 sample types; open circle/triangle replicate markers sit on top of each bar; bars within a group touch,PRIVATE_REFERENCE_ONLY/corpus/PMC13050621/figures/Fig3.webp,gc_nature,Nature,small
Nature Biotechnology,PMC13050621,2026,10.1038/s41587-025-02833-3,3,f,violin,3,unknown,no,none,none,none,none,na,na,na,na,na,na,multi_categorical,coloured,bracket+p_value,exact,LB,none,none,no,medium,high,"Violin only, no interior box or median line; three brackets with exact Wilcoxon P values (P = 8 x 10-15, P = 0.1); y axis extends below zero",PRIVATE_REFERENCE_ONLY/corpus/PMC13050621/figures/Fig3.webp,gc_nature,Nature,unknown
Nature Biotechnology,PMC13050621,2026,10.1038/s41587-025-02833-3,3,g,bar+points,2x5,3/3,yes,mean,caption,SD,caption,small,dark,open,centered,wide,na,multi_categorical,coloured,none,none,LB,outside,in_caption,yes,medium,high,Two-colour grouped bars for hypoblast and area opaca markers; small open replicate markers over bars; legend to the right of the panel,PRIVATE_REFERENCE_ONLY/corpus/PMC13050621/figures/Fig3.webp,gc_nature,Nature,small
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,3,b/1,dot_strip+summary,5,1/4/4/4/4,yes,mean,caption,none,none,medium,same_colour,open,jitter,na,na,monochrome_black,black,bracket+p_value,exact,LB,none,in_caption,yes,medium,medium,"open diamonds black, thick horizontal bar = mean; -Chx reference group has single point at 100%; 4 independent experiments",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig3.webp,gc_nature,Nature,small
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,3,b/2,dot_strip+summary,5,1/4/4/4/4,yes,mean,caption,none,none,medium,same_colour,open,jitter,na,na,single_accent,coloured,bracket+p_value,exact,LB,none,in_caption,yes,medium,medium,"open diamonds orange, thick horizontal bar = mean; -Chx reference group has single point at 100%; 4 independent experiments",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig3.webp,gc_nature,Nature,small
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,3,b/3,dot_strip+summary,5,1/4/4/4/4,yes,mean,caption,none,none,medium,same_colour,open,jitter,na,na,single_accent,coloured,bracket+p_value,exact,LB,none,in_caption,yes,medium,medium,"open diamonds green, thick horizontal bar = mean; -Chx reference group has single point at 100%; 4 independent experiments",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig3.webp,gc_nature,Nature,small
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,4,c/1,dot_strip+summary,2,32/30,yes,mean,caption,SD,caption,small,none,filled,jitter,na,na,multi_categorical,grey,bracket+p_value,exact,box,none,below_category,yes,small,high,"each dot = one mouse; grey vs olive points; horizontal line mean, vertical line SD",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig4.webp,gc_nature,Nature,large
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,4,c/2,dot_strip+summary,2,13/13,yes,mean,caption,SD,caption,small,none,filled,jitter,na,na,single_accent,coloured,bracket+p_value,exact,box,none,below_category,yes,small,high,"each dot = one mouse; orange points; horizontal line mean, vertical line SD",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig4.webp,gc_nature,Nature,medium
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,4,c/3,dot_strip+summary,2,17/18,yes,mean,caption,SD,caption,small,none,filled,jitter,na,na,single_accent,coloured,bracket+p_value,exact,box,none,below_category,yes,small,high,"each dot = one mouse; orange points; horizontal line mean, vertical line SD",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig4.webp,gc_nature,Nature,medium
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,4,c/4,dot_strip+summary,2,12/13,yes,mean,caption,SD,caption,small,none,filled,jitter,na,na,single_accent,coloured,bracket+p_value,exact,box,none,below_category,yes,small,high,"each dot = one mouse; green points; horizontal line mean, vertical line SD",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig4.webp,gc_nature,Nature,medium
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,4,c/5,dot_strip+summary,2,16/18,yes,mean,caption,SD,caption,small,none,filled,jitter,na,na,single_accent,coloured,bracket+p_value,exact,box,none,below_category,yes,small,high,"each dot = one mouse; green points; horizontal line mean, vertical line SD",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig4.webp,gc_nature,Nature,medium
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,6,b,dot_strip,2x3,5/5/5/5/5/5,yes,none,none,none,none,medium,none,filled,jitter,na,na,greys,grey,bracket+p_value,exact,L,none,in_caption,yes,large,medium,"grey triangle markers, DMSO vs Btz within three genotypes, no summary line drawn",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig6.webp,gc_nature,Nature,small
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,8,a/1,box,2x3,unknown,no,median,caption,IQR_whiskers,caption,small,none,filled,centered,na,narrow,multi_categorical,grey,none,none,box,above,none,no,small,medium,"cluster 1 z-score box plots, grey DMSO vs purple Btz across 3 genotypes; dots are outliers only",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig8.webp,gc_nature,Nature,unknown
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,8,a/2,box,2x3,unknown,no,median,caption,IQR_whiskers,caption,small,none,filled,centered,na,narrow,multi_categorical,grey,none,none,box,above,none,no,small,medium,"cluster 2 z-score box plots, grey DMSO vs purple Btz across 3 genotypes; dots are outliers only",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig8.webp,gc_nature,Nature,unknown
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,8,a/3,box,2x3,unknown,no,median,caption,IQR_whiskers,caption,small,none,filled,centered,na,narrow,multi_categorical,grey,none,none,box,above,none,no,small,medium,"cluster 3 z-score box plots, grey DMSO vs purple Btz across 3 genotypes; dots are outliers only",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig8.webp,gc_nature,Nature,unknown
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,8,a/4,box,2x3,unknown,no,median,caption,IQR_whiskers,caption,small,none,filled,centered,na,narrow,multi_categorical,grey,none,none,box,above,none,no,small,medium,"cluster 4 z-score box plots, grey DMSO vs purple Btz across 3 genotypes; dots are outliers only",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig8.webp,gc_nature,Nature,unknown
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,8,c/1,dot_strip+summary,2x2,3/3/3/3,yes,mean,inferred,none,none,medium,same_colour,open,jitter,na,na,multi_categorical,coloured,p_value_only,exact,LB,none,in_caption,yes,medium,medium,"Pak1 RT-qPCR, open diamonds (orange H77L / green C118F) with black mean bar, p values printed as text",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig8.webp,gc_nature,Nature,small
Nature Communications,PMC13562594,2026,10.1038/s41467-026-77485-1,8,c/2,dot_strip+summary,2x2,3/3/3/3,yes,mean,inferred,none,none,medium,same_colour,open,jitter,na,na,multi_categorical,coloured,p_value_only,exact,LB,none,in_caption,yes,medium,medium,"Flna RT-qPCR, open diamonds (orange H77L / green C118F) with black mean bar, p values printed as text",PRIVATE_REFERENCE_ONLY/corpus/PMC13562594/figures/Fig8.webp,gc_nature,Nature,small
