paper_id,journal,journal_family,year,figure_number,image_path,route,image_width_px,image_height_px,figure_aspect,typeset_width_mm,width_evidence,width_assumption,n_panels_detected,n_text_lines,text_size_clusters_pt,smallest_cluster_pt,dominant_cluster_pt,largest_cluster_pt,text_evidence,stroke_pt_inferred,line_widths_pt_observed,coloured_fraction,n_hue_clusters,mean_saturation,dark_fraction,license_url
PMC11349380,Cell,Cell,2024,4,PRIVATE_REFERENCE_ONLY/corpus/PMC11349380/figures/Fig4.gif,web_jpeg,100,102,0.98,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.1465,4,0.497,0.0402,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11349380,Cell,Cell,2024,5,PRIVATE_REFERENCE_ONLY/corpus/PMC11349380/figures/Fig5.gif,web_jpeg,100,105,0.952,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.2067,3,0.565,0.0328,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11349380,Cell,Cell,2024,6,PRIVATE_REFERENCE_ONLY/corpus/PMC11349380/figures/Fig6.jpg,web_jpeg,740,667,1.109,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,146,"[{""pt"": 2.73, ""n_lines"": 84}]",2.73,2.73,2.73,ESTIMATED,,,0.1418,2,0.46,0.0453,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11349380,Cell,Cell,2024,7,PRIVATE_REFERENCE_ONLY/corpus/PMC11349380/figures/Fig7.jpg,web_jpeg,739,1039,0.711,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,125,"[{""pt"": 3.19, ""n_lines"": 87}]",3.19,3.19,3.19,ESTIMATED,,,0.1727,3,0.616,0.054,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11429458,Cell,Cell,2024,1,PRIVATE_REFERENCE_ONLY/corpus/PMC11429458/figures/Fig1.gif,web_jpeg,100,120,0.833,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,2,[],,,,ESTIMATED,,,0.1102,4,0.545,0.0173,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11429458,Cell,Cell,2024,2,PRIVATE_REFERENCE_ONLY/corpus/PMC11429458/figures/Fig2.jpg,web_jpeg,747,892,0.837,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",4,89,"[{""pt"": 1.8, ""n_lines"": 28}, {""pt"": 2.7, ""n_lines"": 45}]",1.8,2.7,2.7,ESTIMATED,,,0.182,6,0.642,0.2823,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11429458,Cell,Cell,2024,3,PRIVATE_REFERENCE_ONLY/corpus/PMC11429458/figures/Fig3.jpg,web_jpeg,714,923,0.774,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",10,178,"[{""pt"": 2.36, ""n_lines"": 153}]",2.36,2.36,2.36,ESTIMATED,0.34,,0.0682,4,0.517,0.0238,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11429458,Cell,Cell,2024,4,PRIVATE_REFERENCE_ONLY/corpus/PMC11429458/figures/Fig4.jpg,web_jpeg,775,1037,0.747,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",15,204,"[{""pt"": 1.74, ""n_lines"": 40}, {""pt"": 2.61, ""n_lines"": 151}]",1.74,2.61,2.61,ESTIMATED,,,0.0841,6,0.57,0.1288,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11429458,Cell,Cell,2024,5,PRIVATE_REFERENCE_ONLY/corpus/PMC11429458/figures/Fig5.gif,web_jpeg,114,80,1.425,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",1,0,[],,,,ESTIMATED,,,0.0384,2,0.344,0.0,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11429458,Cell,Cell,2024,6,PRIVATE_REFERENCE_ONLY/corpus/PMC11429458/figures/Fig6.gif,web_jpeg,100,101,0.99,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,1,[],,,,ESTIMATED,,,0.0143,3,0.39,0.0118,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11429458,Cell,Cell,2024,7,PRIVATE_REFERENCE_ONLY/corpus/PMC11429458/figures/Fig7.gif,web_jpeg,100,117,0.855,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.0512,3,0.463,0.0,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11667439,Cell Systems,Cell,2024,1,PRIVATE_REFERENCE_ONLY/corpus/PMC11667439/figures/Fig1.jpg,web_jpeg,738,855,0.863,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",2,222,"[{""pt"": 1.82, ""n_lines"": 24}, {""pt"": 2.74, ""n_lines"": 160}]",1.82,2.74,2.74,ESTIMATED,0.33,,0.0162,2,0.535,0.0379,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11667439,Cell Systems,Cell,2024,2,PRIVATE_REFERENCE_ONLY/corpus/PMC11667439/figures/Fig2.jpg,web_jpeg,738,690,1.07,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",3,113,"[{""pt"": 1.82, ""n_lines"": 18}, {""pt"": 2.74, ""n_lines"": 73}, {""pt"": 3.65, ""n_lines"": 13}]",1.82,2.74,3.65,ESTIMATED,2.29,,0.0317,2,0.536,0.0391,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11667439,Cell Systems,Cell,2024,3,PRIVATE_REFERENCE_ONLY/corpus/PMC11667439/figures/Fig3.gif,web_jpeg,100,89,1.124,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.0049,0,0.0,0.0,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11667439,Cell Systems,Cell,2024,4,PRIVATE_REFERENCE_ONLY/corpus/PMC11667439/figures/Fig4.jpg,web_jpeg,726,870,0.834,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",8,77,"[{""pt"": 3.24, ""n_lines"": 52}, {""pt"": 4.17, ""n_lines"": 9}]",3.24,3.24,4.17,ESTIMATED,,,0.0119,2,0.367,0.0299,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11667439,Cell Systems,Cell,2024,5,PRIVATE_REFERENCE_ONLY/corpus/PMC11667439/figures/Fig5.jpg,web_jpeg,726,883,0.822,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",9,80,"[{""pt"": 2.32, ""n_lines"": 11}, {""pt"": 3.24, ""n_lines"": 47}]",2.32,3.24,3.24,ESTIMATED,1.66,,0.0143,3,0.327,0.0265,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11667439,Cell Systems,Cell,2024,6,PRIVATE_REFERENCE_ONLY/corpus/PMC11667439/figures/Fig6.jpg,web_jpeg,726,836,0.868,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",6,197,"[{""pt"": 2.32, ""n_lines"": 64}, {""pt"": 3.24, ""n_lines"": 94}, {""pt"": 4.17, ""n_lines"": 27}]",2.32,3.24,4.17,ESTIMATED,3.65,,0.0568,2,0.495,0.0382,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11667439,Cell Systems,Cell,2024,7,PRIVATE_REFERENCE_ONLY/corpus/PMC11667439/figures/Fig7.gif,web_jpeg,120,80,1.5,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",1,1,[],,,,ESTIMATED,,,0.0224,3,0.379,0.0154,http://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11687419,Molecular Cell,Cell,2025,1,PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig1.jpg,web_jpeg,735,394,1.865,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",6,65,"[{""pt"": 3.75, ""n_lines"": 12}, {""pt"": 5.62, ""n_lines"": 46}]",3.75,5.62,5.62,ESTIMATED,0.67,,0.0526,4,0.627,0.0464,http://creativecommons.org/licenses/by/4.0/
PMC11687419,Molecular Cell,Cell,2025,2,PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig2.gif,web_jpeg,100,85,1.176,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.0742,2,0.428,0.0,http://creativecommons.org/licenses/by/4.0/
PMC11687419,Molecular Cell,Cell,2025,3,PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig3.jpg,web_jpeg,746,659,1.132,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",8,88,"[{""pt"": 1.8, ""n_lines"": 11}, {""pt"": 2.71, ""n_lines"": 67}]",1.8,2.71,2.71,ESTIMATED,0.32,,0.0658,6,0.423,0.0359,http://creativecommons.org/licenses/by/4.0/
PMC11687419,Molecular Cell,Cell,2025,4,PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig4.jpg,web_jpeg,750,585,1.282,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",9,248,"[{""pt"": 3.67, ""n_lines"": 42}, {""pt"": 5.51, ""n_lines"": 184}]",3.67,5.51,5.51,ESTIMATED,0.66,,0.0691,4,0.46,0.0481,http://creativecommons.org/licenses/by/4.0/
PMC11687419,Molecular Cell,Cell,2025,5,PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig5.jpg,web_jpeg,744,574,1.296,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",12,43,"[{""pt"": 4.63, ""n_lines"": 9}, {""pt"": 6.48, ""n_lines"": 34}]",4.63,6.48,6.48,ESTIMATED,0.66,,0.1,2,0.732,0.2308,http://creativecommons.org/licenses/by/4.0/
PMC11687419,Molecular Cell,Cell,2025,6,PRIVATE_REFERENCE_ONLY/corpus/PMC11687419/figures/Fig6.gif,web_jpeg,100,130,0.769,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.1335,2,0.507,0.0399,http://creativecommons.org/licenses/by/4.0/
PMC11738662,Cell Systems,Cell,2025,1,PRIVATE_REFERENCE_ONLY/corpus/PMC11738662/figures/Fig1.jpg,web_jpeg,1800,1177,1.529,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",1,214,"[{""pt"": 3.06, ""n_lines"": 36}, {""pt"": 3.83, ""n_lines"": 109}]",3.06,3.83,3.83,ESTIMATED,,,0.1138,4,0.627,0.0877,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11738662,Cell Systems,Cell,2025,2,PRIVATE_REFERENCE_ONLY/corpus/PMC11738662/figures/Fig2.jpg,web_jpeg,1404,1800,0.78,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,254,"[{""pt"": 1.68, ""n_lines"": 60}, {""pt"": 2.16, ""n_lines"": 132}, {""pt"": 2.64, ""n_lines"": 41}]",1.68,2.16,2.64,ESTIMATED,1.46,,0.2945,4,0.603,0.2033,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC11913779,Cancer Cell,Cell,2023,1,PRIVATE_REFERENCE_ONLY/corpus/PMC11913779/figures/Fig1.jpg,web_jpeg,748,686,1.09,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",7,96,"[{""pt"": 2.7, ""n_lines"": 81}]",2.7,2.7,2.7,ESTIMATED,0.97,,0.0833,3,0.608,0.0415,http://creativecommons.org/licenses/by/4.0/
PMC11913779,Cancer Cell,Cell,2023,2,PRIVATE_REFERENCE_ONLY/corpus/PMC11913779/figures/Fig2.jpg,web_jpeg,714,925,0.772,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",4,96,"[{""pt"": 2.36, ""n_lines"": 83}]",2.36,2.36,2.36,ESTIMATED,0.34,,0.0649,2,0.495,0.0466,http://creativecommons.org/licenses/by/4.0/
PMC11913779,Cancer Cell,Cell,2023,3,PRIVATE_REFERENCE_ONLY/corpus/PMC11913779/figures/Fig3.jpg,web_jpeg,793,1041,0.762,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,252,"[{""pt"": 2.12, ""n_lines"": 189}]",2.12,2.12,2.12,ESTIMATED,0.61,,0.1061,2,0.603,0.1008,http://creativecommons.org/licenses/by/4.0/
PMC11913779,Cancer Cell,Cell,2023,4,PRIVATE_REFERENCE_ONLY/corpus/PMC11913779/figures/Fig4.jpg,web_jpeg,748,915,0.817,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,140,"[{""pt"": 1.8, ""n_lines"": 25}, {""pt"": 2.7, ""n_lines"": 100}]",1.8,2.7,2.7,ESTIMATED,0.64,,0.0631,2,0.682,0.0546,http://creativecommons.org/licenses/by/4.0/
PMC11913779,Cancer Cell,Cell,2023,5,PRIVATE_REFERENCE_ONLY/corpus/PMC11913779/figures/Fig5.jpg,web_jpeg,771,1041,0.741,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,189,"[{""pt"": 1.75, ""n_lines"": 141}, {""pt"": 3.06, ""n_lines"": 29}]",1.75,1.75,3.06,ESTIMATED,0.94,,0.0303,4,0.598,0.0188,http://creativecommons.org/licenses/by/4.0/
PMC11913779,Cancer Cell,Cell,2023,6,PRIVATE_REFERENCE_ONLY/corpus/PMC11913779/figures/Fig6.jpg,web_jpeg,748,879,0.851,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,117,"[{""pt"": 2.25, ""n_lines"": 40}, {""pt"": 3.15, ""n_lines"": 73}]",2.25,3.15,3.15,ESTIMATED,0.97,,0.0271,7,0.504,0.0201,http://creativecommons.org/licenses/by/4.0/
PMC11913779,Cancer Cell,Cell,2023,7,PRIVATE_REFERENCE_ONLY/corpus/PMC11913779/figures/Fig7.gif,web_jpeg,100,135,0.741,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.0401,3,0.454,0.0039,http://creativecommons.org/licenses/by/4.0/
PMC11922821,Cell Systems,Cell,2025,1,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig1.jpg,web_jpeg,753,760,0.991,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,117,"[{""pt"": 2.23, ""n_lines"": 89}, {""pt"": 3.58, ""n_lines"": 22}]",2.23,2.23,3.58,ESTIMATED,0.32,,0.0571,4,0.566,0.2131,http://creativecommons.org/licenses/by/4.0/
PMC11922821,Cell Systems,Cell,2025,2,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig2.gif,web_jpeg,100,94,1.064,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.0496,2,0.528,0.1735,http://creativecommons.org/licenses/by/4.0/
PMC11922821,Cell Systems,Cell,2025,3,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,web_jpeg,752,920,0.817,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",5,115,"[{""pt"": 1.79, ""n_lines"": 18}, {""pt"": 2.68, ""n_lines"": 87}]",1.79,2.68,2.68,ESTIMATED,,,0.0966,4,0.475,0.1358,http://creativecommons.org/licenses/by/4.0/
PMC11922821,Cell Systems,Cell,2025,4,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig4.jpg,web_jpeg,753,859,0.877,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",8,158,"[{""pt"": 1.79, ""n_lines"": 20}, {""pt"": 2.68, ""n_lines"": 122}]",1.79,2.68,2.68,ESTIMATED,,,0.0318,4,0.496,0.0331,http://creativecommons.org/licenses/by/4.0/
PMC11922821,Cell Systems,Cell,2025,5,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig5.gif,web_jpeg,100,146,0.685,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.036,2,0.402,0.0728,http://creativecommons.org/licenses/by/4.0/
PMC12137002,Cell Metabolism,Cell,2025,1,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig1.gif,web_jpeg,100,110,0.909,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,2,[],,,,ESTIMATED,,,0.0729,3,0.619,0.0225,http://creativecommons.org/licenses/by/4.0/
PMC12137002,Cell Metabolism,Cell,2025,2,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,web_jpeg,748,678,1.103,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,110,"[{""pt"": 2.25, ""n_lines"": 12}, {""pt"": 2.7, ""n_lines"": 80}, {""pt"": 3.6, ""n_lines"": 15}]",2.25,2.7,3.6,ESTIMATED,1.93,,0.038,3,0.591,0.0434,http://creativecommons.org/licenses/by/4.0/
PMC12137002,Cell Metabolism,Cell,2025,3,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig3.gif,web_jpeg,100,110,0.909,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,1,[],,,,ESTIMATED,,,0.0613,3,0.474,0.0159,http://creativecommons.org/licenses/by/4.0/
PMC12137002,Cell Metabolism,Cell,2025,4,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig4.gif,web_jpeg,102,79,1.291,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",1,0,[],,,,ESTIMATED,,,0.0454,2,0.5,0.0194,http://creativecommons.org/licenses/by/4.0/
PMC12137002,Cell Metabolism,Cell,2025,5,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig5.jpg,web_jpeg,747,509,1.468,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",1,119,"[{""pt"": 4.61, ""n_lines"": 103}]",4.61,4.61,4.61,ESTIMATED,7.26,,0.1083,3,0.509,0.0386,http://creativecommons.org/licenses/by/4.0/
PMC12137002,Cell Metabolism,Cell,2025,6,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig6.gif,web_jpeg,104,80,1.3,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",1,1,[],,,,ESTIMATED,,,0.0317,3,0.669,0.0252,http://creativecommons.org/licenses/by/4.0/
PMC12332847,Cell Systems,Cell,2025,1,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig1.jpg,web_jpeg,1685,2100,0.802,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",2,184,"[{""pt"": 2.2, ""n_lines"": 31}, {""pt"": 3.59, ""n_lines"": 92}, {""pt"": 4.79, ""n_lines"": 22}]",2.2,3.59,4.79,ESTIMATED,1.93,,0.0602,3,0.575,0.2049,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC12332847,Cell Systems,Cell,2025,2,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig2.jpg,web_jpeg,1570,2100,0.748,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,160,"[{""pt"": 3.22, ""n_lines"": 78}, {""pt"": 3.64, ""n_lines"": 37}]",3.22,3.22,3.64,ESTIMATED,,,0.138,3,0.701,0.2389,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC12332847,Cell Systems,Cell,2025,3,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig3.jpg,web_jpeg,1728,2100,0.823,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,170,"[{""pt"": 2.73, ""n_lines"": 82}, {""pt"": 3.12, ""n_lines"": 48}]",2.73,2.73,3.12,ESTIMATED,,,0.0667,3,0.589,0.0315,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC12332847,Cell Systems,Cell,2025,4,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig4.jpg,web_jpeg,1571,2100,0.748,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,197,"[{""pt"": 2.36, ""n_lines"": 27}, {""pt"": 3.0, ""n_lines"": 138}]",2.36,3.0,3.0,ESTIMATED,1.53,,0.1111,4,0.612,0.1315,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC12332847,Cell Systems,Cell,2025,5,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig5.jpg,web_jpeg,2019,1798,1.123,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",13,133,"[{""pt"": 2.17, ""n_lines"": 19}, {""pt"": 3.17, ""n_lines"": 81}, {""pt"": 5.83, ""n_lines"": 21}]",2.17,3.17,5.83,ESTIMATED,,,0.0323,4,0.824,0.1424,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC12332847,Cell Systems,Cell,2025,6,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig6.jpg,web_jpeg,1815,2100,0.864,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,88,"[{""pt"": 1.3, ""n_lines"": 9}, {""pt"": 3.15, ""n_lines"": 68}]",1.3,3.15,3.15,ESTIMATED,0.27,,0.1113,3,0.671,0.3486,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC12332847,Cell Systems,Cell,2025,7,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig7.jpg,web_jpeg,1568,2100,0.747,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",4,175,"[{""pt"": 2.36, ""n_lines"": 23}, {""pt"": 3.22, ""n_lines"": 116}, {""pt"": 4.08, ""n_lines"": 23}]",2.36,3.22,4.08,ESTIMATED,,,0.0184,5,0.675,0.0661,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC12416865,Cancer Cell,Cell,2025,1,PRIVATE_REFERENCE_ONLY/corpus/PMC12416865/figures/Fig1.jpg,web_jpeg,744,734,1.014,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",11,172,"[{""pt"": 2.26, ""n_lines"": 28}, {""pt"": 3.17, ""n_lines"": 98}, {""pt"": 4.07, ""n_lines"": 38}]",2.26,3.17,4.07,ESTIMATED,2.59,,0.0809,2,0.42,0.0571,http://creativecommons.org/licenses/by/4.0/
PMC12416865,Cancer Cell,Cell,2025,2,PRIVATE_REFERENCE_ONLY/corpus/PMC12416865/figures/Fig2.gif,web_jpeg,100,105,0.952,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,1,[],,,,ESTIMATED,,,0.0451,3,0.587,0.0708,http://creativecommons.org/licenses/by/4.0/
PMC12416865,Cancer Cell,Cell,2025,3,PRIVATE_REFERENCE_ONLY/corpus/PMC12416865/figures/Fig3.gif,web_jpeg,100,104,0.962,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.0319,3,0.606,0.0933,http://creativecommons.org/licenses/by/4.0/
PMC12416865,Cancer Cell,Cell,2025,4,PRIVATE_REFERENCE_ONLY/corpus/PMC12416865/figures/Fig4.gif,web_jpeg,100,128,0.781,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.0928,4,0.645,0.1709,http://creativecommons.org/licenses/by/4.0/
