feature,name,mean_expr,effect_measure,lfcSE,p_raw,p_adjusted,call,annotation
GENE00273,G273,125.65,0.8666,0.2667,0.001156715718599522,0.006486256365978628,NS,protein_coding
GENE00274,G274,41.06,0.4088,0.3388,0.22758176878076275,0.4053531067351244,NS,protein_coding
GENE00275,G275,323.08,-0.6735,0.3247,0.03805866460987152,0.11237492066706121,NS,lncRNA
GENE00276,G276,37.95,0.695,0.1564,8.841089476322968e-06,7.419096064047245e-05,NS,protein_coding
GENE00277,G277,283.71,-0.2675,0.3756,0.476344761334054,0.6466218479647792,NS,protein_coding
GENE00278,G278,1179.08,0.1776,0.3026,0.557261858260608,0.7175045385329717,NS,protein_coding
GENE00279,G279,35.26,0.9589,0.3754,0.010638869115835474,0.041585156153102834,NS,protein_coding
GENE00280,G280,4.75,0.2576,0.2546,0.31164172944967017,0.49666833641691716,NS,lncRNA
GENE00281,G281,108.51,-0.1334,0.2238,0.5511298554833985,0.713356641741221,NS,protein_coding
GENE00282,G282,34.45,0.5393,0.3748,0.1501786458449258,0.3015452101744645,NS,protein_coding
GENE00283,G283,279.87,0.7162,0.3813,0.060338626998473095,0.1623460816102415,NS,protein_coding
GENE00284,G284,55.1,-0.4529,0.1909,0.017670731263448272,0.062367286812170374,NS,protein_coding
GENE00285,G285,1366.75,0.8356,0.4481,0.062214725668092025,0.16553807273106524,NS,protein_coding
GENE00286,G286,4.97,0.2132,0.3511,0.5436953619729274,0.7060978726921135,NS,lncRNA
GENE00287,G287,339.97,0.1153,0.4845,0.8118987034195876,0.8938334349573441,NS,protein_coding
GENE00288,G288,7.51,-0.268,0.4999,0.5918844495115023,0.7414001455258902,NS,protein_coding
GENE00289,G289,15.79,0.3075,0.4032,0.4456728671844309,0.6237394915347909,NS,protein_coding
GENE00290,G290,75.0,0.0352,0.3373,0.9168851421455656,0.9598329544972123,NS,protein_coding
GENE00291,G291,55.05,0.176,0.269,0.512934589553129,0.6783369590036331,NS,lncRNA
GENE00292,G292,245.93,-0.0571,0.3604,0.8741139792028387,0.933217771390931,NS,protein_coding
GENE00293,G293,75.41,-0.456,0.4551,0.3163544176893325,0.501720880557699,NS,lncRNA
GENE00294,G294,106.16,0.7329,0.3041,0.0159497888299429,0.05799923210888326,NS,protein_coding
GENE00295,G295,403.68,2.2154,0.384,7.961526406399112e-09,1.0163650731573334e-07,Up,lncRNA
GENE00296,G296,17.57,-1.2699,0.3093,4.0305293633317586e-05,0.00030806593859860574,Down,protein_coding
GENE00297,G297,36.66,-0.6452,0.4839,0.18242243945173575,0.3471436871153719,NS,protein_coding
GENE00298,G298,10.2,-0.227,0.1567,0.14744151094738744,0.29937362628911157,NS,protein_coding
GENE00299,G299,63.19,-0.1336,0.3024,0.6586347043864981,0.7927398648583728,NS,protein_coding
GENE00300,G300,2569.7,-0.3629,0.4977,0.46590739922537794,0.6389587189376612,NS,protein_coding
GENE00301,G301,1406.52,0.7334,0.4724,0.12054313882721653,0.2602267015498825,NS,protein_coding
GENE00302,G302,4912.22,0.4883,0.2515,0.05219151655628276,0.14464161632226172,NS,protein_coding
GENE00303,G303,23.84,0.1495,0.4659,0.7482980645588795,0.8551977880672909,NS,protein_coding
GENE00304,G304,8.89,0.0038,0.2363,0.9871695698044534,0.9954651124078521,NS,lncRNA
GENE00305,G305,99.69,-0.2325,0.2497,0.3517928694832646,0.5418696525441113,NS,protein_coding
GENE00306,G306,499.92,0.039,0.2362,0.8688540099261169,0.9312150019036454,NS,protein_coding
GENE00307,G307,66.65,0.9362,0.4167,0.024659189377095516,0.08084980123637873,NS,protein_coding
GENE00308,G308,15.76,0.2377,0.2301,0.30159027241031167,0.48840529944989747,NS,protein_coding
GENE00309,G309,17.81,0.44,0.4771,0.35640417240583955,0.5455165904171013,NS,protein_coding
GENE00310,G310,89.88,-0.3918,0.2795,0.16097829146142484,0.32035480887845735,NS,protein_coding
GENE00311,G311,50.89,0.0428,0.319,0.8932687180431074,0.9470977423940056,NS,protein_coding
GENE00312,G312,147.36,-0.1091,0.4946,0.8254176929436873,0.900455665029477,NS,protein_coding
GENE00313,G313,359.51,0.2591,0.3686,0.4820993708150605,0.6529562584402625,NS,protein_coding
GENE00314,G314,1117.34,-1.2354,0.358,0.0005588489305839512,0.0033364115258743355,Down,protein_coding
GENE00315,G315,1593.29,0.2422,0.2541,0.34050493466839915,0.5272646537309803,NS,protein_coding
GENE00316,G316,118.81,-0.1593,0.2857,0.5771326654431799,0.7290096826650693,NS,protein_coding
GENE00317,G317,15260.94,0.246,0.4894,0.6152059291769207,0.7610795000126854,NS,protein_coding
GENE00318,G318,4758.54,-0.5141,0.3265,0.1153536840540952,0.25514970384234154,NS,protein_coding
GENE00319,G319,1285.18,0.0973,0.1835,0.5959419140752338,0.743619169178518,NS,protein_coding
GENE00320,G320,1337.12,-1.3592,0.4031,0.0007466021584832823,0.00430732014509586,Down,protein_coding
GENE00321,G321,14.75,-1.2277,0.1978,5.408310765803105e-10,7.819244480679187e-09,Down,protein_coding
GENE00322,G322,27.62,-0.5884,0.2829,0.03753590916603906,0.11149279950308631,NS,protein_coding
GENE00323,G323,100.22,1.316,0.2049,1.3392640547345516e-10,2.0604062380531565e-09,Up,protein_coding
GENE00324,G324,1095.71,-0.5873,0.2896,0.04256334940507933,0.12307474526769926,NS,protein_coding
GENE00325,G325,280.78,-0.4323,0.4449,0.33121025276910065,0.5175160199517198,NS,protein_coding
GENE00326,G326,713.96,0.8306,0.1544,7.467902377895276e-08,8.221543902270028e-07,NS,protein_coding
GENE00327,G327,24.6,1.402,0.4974,0.004822501798420888,0.022430240922887854,Up,lncRNA
GENE00328,G328,25.71,-0.8477,0.4691,0.07075021465225978,0.18218939395431702,NS,protein_coding
GENE00329,G329,94.61,-0.0648,0.2249,0.7732487165623909,0.8721147525027516,NS,lncRNA
GENE00330,G330,14.58,1.2626,0.2695,2.7999797402920558e-06,2.564866937672112e-05,Up,protein_coding
GENE00331,G331,53.4,0.7322,0.4694,0.11879210475640375,0.25871238785423684,NS,protein_coding
GENE00332,G332,25.86,-0.9427,0.3352,0.004918082842382993,0.022698843887921507,NS,protein_coding
GENE00333,G333,10.68,-0.615,0.1974,0.0018363240242621494,0.009828092620005353,NS,protein_coding
GENE00334,G334,70.86,0.6112,0.2389,0.010515728712245776,0.04123815181272854,NS,pseudogene
GENE00335,G335,784.71,-0.8374,0.3631,0.02109657108411825,0.0716396866109319,NS,lncRNA
GENE00336,G336,229.89,0.7476,0.3105,0.01605207093707133,0.05819481910720723,NS,protein_coding
GENE00337,G337,765.41,-0.0916,0.3617,0.800076152629819,0.8848768508348229,NS,protein_coding
GENE00338,G338,346.28,-1.7929,0.3751,1.7547659423114206e-06,1.6323404114524843e-05,Down,pseudogene
GENE00339,G339,73.95,0.7534,0.2677,0.004887683083024574,0.022645635905905362,NS,protein_coding
GENE00340,G340,226.77,-0.1428,0.2273,0.5298437104207949,0.6963991812759626,NS,lncRNA
GENE00341,G341,70.12,0.1952,0.2711,0.4715068267357785,0.642963854639698,NS,protein_coding
GENE00342,G342,214.45,0.2294,0.3313,0.4886712331749159,0.6581179691118737,NS,protein_coding
GENE00343,G343,2426.8,0.5819,0.2089,0.005343809870534992,0.024107412949781918,NS,protein_coding
GENE00344,G344,53.36,0.3392,0.1763,0.054355436649476285,0.15029152990638603,NS,protein_coding
GENE00345,G345,471.62,0.2994,0.3992,0.4532547047537364,0.6280665654786186,NS,protein_coding
GENE00346,G346,1391.42,-0.5622,0.4959,0.2569219581219281,0.4366945463828806,NS,protein_coding
GENE00347,G347,1601.6,-0.0158,0.2385,0.9471808762445854,0.9731310372375878,NS,protein_coding
GENE00348,G348,244.42,-0.4585,0.1552,0.003134273680200262,0.015541852959670721,NS,protein_coding
GENE00349,G349,85.87,-0.7509,0.3191,0.018613580156343415,0.06493109356863982,NS,protein_coding
GENE00350,G350,190.39,0.4741,0.3175,0.13537742444114712,0.28057497293501993,NS,lncRNA
GENE00351,G351,209.53,0.5582,0.3714,0.13284890364127153,0.27676854925264904,NS,protein_coding
GENE00352,G352,253.43,-0.9682,0.3343,0.003777103681685114,0.018202909309325853,NS,pseudogene
GENE00353,G353,55.4,-2.3116,0.2649,2.6311259734824713e-18,7.17579810949765e-17,Down,protein_coding
GENE00354,G354,60.81,-0.0461,0.4212,0.91284621787121,0.9577518981507384,NS,protein_coding
GENE00355,G355,47.07,0.0054,0.3098,0.9860930972816871,0.995215909788078,NS,protein_coding
GENE00356,G356,345.72,-0.2558,0.2795,0.36008363998367665,0.5476557262109151,NS,protein_coding
GENE00357,G357,584.19,0.4309,0.2078,0.03811382725957826,0.11237492066706121,NS,lncRNA
GENE00358,G358,4.34,0.2941,0.4948,0.5522569334813286,0.713356641741221,NS,lncRNA
GENE00359,G359,397.29,-0.7347,0.442,0.0964692336250031,0.22617809376588752,NS,protein_coding
GENE00360,G360,57.88,0.3447,0.205,0.09267293695688794,0.2203517165606876,NS,protein_coding
GENE00361,G361,6.96,0.7711,0.4515,0.08766182539103333,0.21159434094496077,NS,protein_coding
GENE00362,G362,3.25,0.4268,0.3788,0.25986259864552474,0.4400087298552742,NS,protein_coding
GENE00363,G363,87.14,0.2289,0.3084,0.45795532572311815,0.6316625182387837,NS,lncRNA
GENE00364,G364,139.91,0.4123,0.383,0.2817031173601996,0.4675570412617421,NS,protein_coding
GENE00365,G365,134.19,0.0565,0.4184,0.8925816393475454,0.9470977423940056,NS,protein_coding
GENE00366,G366,439.27,-0.2141,0.1745,0.21984736163451535,0.3997224756991188,NS,protein_coding
GENE00367,G367,682.12,-0.7962,0.2882,0.005733160820949869,0.025480714759777194,NS,protein_coding
GENE00368,G368,178.67,-0.0884,0.1539,0.565697856284588,0.7214000292683375,NS,protein_coding
GENE00369,G369,154.94,0.0946,0.4082,0.8167328599918596,0.8975086373536919,NS,protein_coding
GENE00370,G370,50.04,0.7009,0.1509,3.4040955924481484e-06,3.0946323567710445e-05,NS,protein_coding
GENE00371,G371,303.91,-3.2875,0.2909,1.2953378049310807e-29,5.551447735418917e-28,Down,pseudogene
GENE00372,G372,146.01,-0.4551,0.3813,0.2326546737542481,0.40899081752255456,NS,protein_coding
GENE00373,G373,1078.28,-0.7101,0.3145,0.023953788265532485,0.07954488676361447,NS,protein_coding
GENE00374,G374,15.5,0.2029,0.1957,0.2998332677518575,0.48687404777026927,NS,protein_coding
GENE00375,G375,84.4,-0.1272,0.251,0.6123141673392143,0.7582837985624944,NS,protein_coding
GENE00376,G376,242.87,0.8107,0.2515,0.001266523198955587,0.007036239994197706,NS,protein_coding
GENE00377,G377,430.91,-0.5417,0.4536,0.23239036288591441,0.40899081752255456,NS,protein_coding
GENE00378,G378,89.8,-0.57,0.4753,0.2304336335296654,0.40840495334910365,NS,protein_coding
GENE00379,G379,397.91,-0.0782,0.4111,0.8491356759289805,0.9179845145178168,NS,protein_coding
GENE00380,G380,283.38,-0.3646,0.3155,0.2478341723040296,0.4261106329333302,NS,lncRNA
GENE00381,G381,1025.71,0.3577,0.1609,0.026207712727730866,0.08386468072873877,NS,protein_coding
GENE00382,G382,211.56,-0.8994,0.2083,1.5758438492450656e-05,0.00012945338364948677,NS,protein_coding
GENE00383,G383,210.79,-0.3353,0.4392,0.4452048983026695,0.6237394915347909,NS,protein_coding
GENE00384,G384,192.27,0.4729,0.2836,0.09541712610646752,0.22483649496725905,NS,protein_coding
GENE00385,G385,383.89,-0.6703,0.3013,0.02610185471806632,0.08385421628365272,NS,protein_coding
GENE00386,G386,165.01,0.1523,0.3316,0.6460271491338657,0.7830632110713523,NS,protein_coding
GENE00387,G387,214.73,0.4003,0.1544,0.009524889334860282,0.03810394488279976,NS,protein_coding
GENE00388,G388,2096.2,3.8778,0.4569,2.1168198940799915e-17,5.184048720195897e-16,Up,protein_coding
GENE00389,G389,178.92,-0.6077,0.2136,0.0044406201379744,0.021230056436531,NS,protein_coding
GENE00390,G390,303.98,-0.2979,0.3968,0.4527994849326369,0.6280665654786186,NS,protein_coding
GENE00391,G391,1003.08,0.4497,0.3003,0.13426255621786604,0.27922888641497273,NS,protein_coding
GENE00392,G392,150.88,-0.2584,0.2245,0.24973131928655812,0.42750011860751747,NS,protein_coding
GENE00393,G393,41.37,0.1985,0.1932,0.3042167546137984,0.49099606038048715,NS,protein_coding
GENE00394,G394,102.95,0.2988,0.2475,0.22732713016459205,0.4053531067351244,NS,protein_coding
GENE00395,G395,18.41,-0.1543,0.3938,0.6951888071086798,0.818671804249672,NS,protein_coding
GENE00396,G396,57.46,-0.0275,0.404,0.9457304631894933,0.972483302908345,NS,protein_coding
GENE00397,G397,1858.94,0.4145,0.3099,0.18105027222013015,0.34540592474428644,NS,protein_coding
GENE00398,G398,1051.81,-0.2107,0.2044,0.3026243380467015,0.48941941463078414,NS,protein_coding
GENE00399,G399,121.95,0.2062,0.3351,0.5383310617547235,0.7030482425261286,NS,protein_coding
GENE00400,G400,534.78,0.1357,0.4852,0.7797241877997076,0.8731393118559336,NS,protein_coding
GENE00401,G401,55.98,1.05,0.3143,0.0008355024237281844,0.004774299564161054,Up,protein_coding
GENE00402,G402,52.82,0.5312,0.4314,0.2181957932415295,0.39792545879914193,NS,lncRNA
GENE00403,G403,792.41,1.0024,0.3954,0.011239781395455565,0.04336893142941054,Up,protein_coding
GENE00404,G404,173.07,1.5719,0.4865,0.00123341529293471,0.006884178379170474,Up,protein_coding
GENE00405,G405,562.15,1.1574,0.1553,9.146831903740292e-14,1.7703545620142501e-12,Up,protein_coding
GENE00406,G406,118.06,0.0031,0.2645,0.9906488260386092,0.9976167724007221,NS,protein_coding
GENE00407,G407,35.06,0.5305,0.3958,0.18014022851157963,0.34513543879836556,NS,lncRNA
GENE00408,G408,1904.3,0.0993,0.4654,0.8310423968650265,0.904125907740736,NS,protein_coding
GENE00409,G409,45.16,-0.5332,0.309,0.08442545876277388,0.20717903990864756,NS,protein_coding
GENE00410,G410,353.99,-0.3647,0.3156,0.2478543514895537,0.4261106329333302,NS,lncRNA
GENE00411,G411,7991.55,-0.0685,0.3063,0.8230398041895772,0.900455665029477,NS,pseudogene
GENE00412,G412,37.21,-0.524,0.2776,0.059078586011534186,0.1600322871644267,NS,protein_coding
GENE00413,G413,744.21,-0.2838,0.3235,0.3803347069197861,0.5669585693214203,NS,lncRNA
GENE00414,G414,1277.84,0.7814,0.4956,0.11487038604002868,0.25479568068028546,NS,lncRNA
GENE00415,G415,1104.4,0.426,0.2617,0.10356345882364719,0.2376217028458444,NS,protein_coding
GENE00416,G416,319.64,-0.446,0.4565,0.328569694612975,0.5142862674772298,NS,protein_coding
GENE00417,G417,31.34,0.5129,0.1854,0.005667011509493665,0.025280348741235678,NS,protein_coding
GENE00418,G418,428.91,0.2397,0.2749,0.38323377960408633,0.5680436064397276,NS,protein_coding
GENE00419,G419,96.27,3.8786,0.2294,3.95590287102876e-64,3.4938366828773607e-62,Up,protein_coding
GENE00420,G420,560.85,-0.4813,0.1704,0.004734993910201265,0.022370049969454794,NS,protein_coding
GENE00421,G421,187.77,-0.4121,0.2198,0.06080837266859167,0.1632439534727293,NS,protein_coding
GENE00422,G422,496.96,-0.5432,0.2105,0.009865090882366501,0.03906966686085743,NS,protein_coding
GENE00423,G423,65.67,-1.7276,0.4203,3.949788656285067e-05,0.0003057900895188439,Down,pseudogene
GENE00424,G424,189.52,0.5953,0.4707,0.20597453977237323,0.3808466066669459,NS,protein_coding
GENE00425,G425,377.73,0.1602,0.297,0.5896150620207836,0.7393292313740233,NS,protein_coding
GENE00426,G426,111.52,0.1003,0.3811,0.7924075942492197,0.8812688721956103,NS,lncRNA
GENE00427,G427,160.29,0.2217,0.2321,0.33948074837940434,0.527007630084457,NS,protein_coding
GENE00428,G428,307.09,1.0652,0.1924,3.087827615429444e-08,3.7053931385153326e-07,Up,protein_coding
GENE00429,G429,478.73,-0.0817,0.3395,0.8098279354347572,0.8923723806443605,NS,protein_coding
GENE00430,G430,269.63,0.0654,0.2651,0.8051409028857833,0.8892334223658032,NS,protein_coding
GENE00431,G431,1270.29,-0.7379,0.3853,0.05547579077515988,0.1522990370283224,NS,protein_coding
GENE00432,G432,93.92,0.4037,0.4508,0.37050967246173516,0.5571574021980981,NS,protein_coding
GENE00433,G433,67.5,-0.0037,0.4514,0.9934600358490524,0.9976167724007221,NS,protein_coding
GENE00434,G434,7025.05,-0.0601,0.435,0.8901132405204192,0.9460902467887538,NS,lncRNA
GENE00435,G435,315.31,0.9475,0.2255,2.648316449718399e-05,0.00020907761445145253,NS,lncRNA
GENE00436,G436,75.5,0.0524,0.1889,0.7814764770276068,0.8731643349116436,NS,protein_coding
GENE00437,G437,431.34,0.3601,0.3577,0.3140743795949078,0.4991910669058137,NS,protein_coding
GENE00438,G438,41.47,-0.7815,0.4454,0.07932730567787034,0.19831826419467585,NS,protein_coding
GENE00439,G439,86.57,0.8792,0.1728,3.619300294428696e-07,3.712102866080714e-06,NS,protein_coding
GENE00440,G440,40.56,0.1333,0.1652,0.4197236802946521,0.6024741822411275,NS,protein_coding
GENE00441,G441,13.42,0.7634,0.3988,0.05558914851533767,0.1522990370283224,NS,protein_coding
GENE00442,G442,2070.19,0.2514,0.4645,0.5883510427418177,0.7385159532324072,NS,protein_coding
GENE00443,G443,48.0,-0.431,0.2438,0.07708723870033052,0.19393016025240384,NS,protein_coding
GENE00444,G444,22.63,0.7184,0.3092,0.020156854835743674,0.06950639598532302,NS,protein_coding
GENE00445,G445,188.27,0.3585,0.2516,0.1541916712371209,0.3078702254318554,NS,protein_coding
GENE00446,G446,81.76,0.8351,0.3363,0.013020813303154783,0.04882804988683044,NS,protein_coding
GENE00447,G447,215.73,-0.6902,0.1824,0.00015433326498954868,0.0010767437092294094,NS,pseudogene
GENE00448,G448,42.56,-0.1273,0.1904,0.5037554983490589,0.6718840137224635,NS,lncRNA
GENE00449,G449,44.69,-0.3993,0.3888,0.30441755743590204,0.49099606038048715,NS,protein_coding
GENE00450,G450,130.14,0.1812,0.3173,0.567953285094376,0.7227401294944339,NS,protein_coding
GENE00451,G451,41.61,3.2797,0.3873,2.49401216435853e-17,5.985629194460472e-16,Up,protein_coding
GENE00452,G452,843.35,0.4951,0.2354,0.03544579599099145,0.10660389771726751,NS,protein_coding
GENE00453,G453,306.92,0.1445,0.367,0.693778196981148,0.818617341570676,NS,protein_coding
GENE00454,G454,514.95,-0.3596,0.2435,0.1397301375264395,0.28781011651564664,NS,protein_coding
GENE00455,G455,495.18,0.7591,0.2014,0.00016382661898469212,0.0011363696114545117,NS,pseudogene
GENE00456,G456,54.88,0.3693,0.1829,0.04347307149262588,0.12450521668532472,NS,pseudogene
GENE00457,G457,78.19,0.7803,0.4801,0.10410154819354127,0.23840049204627772,NS,protein_coding
GENE00458,G458,255.66,0.6073,0.2178,0.005297924928596211,0.02399060345024699,NS,protein_coding
GENE00459,G459,133.12,-0.0658,0.2591,0.7995295496092838,0.8848768508348229,NS,lncRNA
GENE00460,G460,162.57,1.941,0.332,5.023689507390903e-09,6.624645504251741e-08,Up,protein_coding
GENE00461,G461,72.73,-0.6196,0.448,0.16665391533665597,0.3262393122414146,NS,protein_coding
GENE00462,G462,136.21,-0.7581,0.3351,0.023678271942989063,0.07904230463817324,NS,lncRNA
GENE00463,G463,79.71,0.8787,0.2427,0.0002940124769661177,0.0018867110821355149,NS,pseudogene
GENE00464,G464,81.27,0.627,0.3096,0.04284746822990617,0.12359846604780625,NS,lncRNA
GENE00465,G465,82.56,2.4879,0.4,4.979476356570479e-10,7.287038570590945e-09,Up,protein_coding
GENE00466,G466,553.99,0.2941,0.348,0.3980466662182096,0.5821996268372186,NS,protein_coding
GENE00467,G467,37.4,0.1989,0.36,0.5806058344152913,0.7308046517585739,NS,protein_coding
GENE00468,G468,211.01,0.0985,0.4176,0.813532269570579,0.8948109289502244,NS,protein_coding
GENE00469,G469,349.94,0.1637,0.4948,0.7407647832077208,0.8537026572114276,NS,protein_coding
GENE00470,G470,250.09,0.3547,0.296,0.23079603944927385,0.40840495334910365,NS,protein_coding
GENE00471,G471,1011.38,0.5165,0.2715,0.057119650887570324,0.1550759752603719,NS,protein_coding
GENE00472,G472,887.46,-0.2332,0.156,0.13494790457924902,0.28016866002612256,NS,protein_coding
GENE00473,G473,68.45,0.3757,0.4426,0.39596603388165674,0.5801700130134165,NS,protein_coding
GENE00474,G474,56.66,0.4343,0.3595,0.22702158443263554,0.4053531067351244,NS,protein_coding
GENE00475,G475,1159.11,-1.1289,0.1809,4.3627383583212235e-10,6.463316086401813e-09,Down,protein_coding
GENE00476,G476,92.7,-0.4059,0.2684,0.13045881162721518,0.2743422130863562,NS,protein_coding
GENE00477,G477,156.41,0.3877,0.4001,0.3325413233832255,0.5175740441762264,NS,lncRNA
GENE00478,G478,478.26,0.1466,0.3179,0.6446900547811653,0.7826879956301678,NS,protein_coding
GENE00479,G479,14.68,0.3768,0.2366,0.11125864449834262,0.2490865175336029,NS,protein_coding
GENE00480,G480,118.11,0.2197,0.1713,0.19965144482408836,0.372975942064675,NS,protein_coding
GENE00481,G481,35.37,2.3476,0.4465,1.4580261287523302e-07,1.5621708522346395e-06,Up,lncRNA
GENE00482,G482,51.79,0.0901,0.2534,0.7221668642372894,0.8389160087945279,NS,lncRNA
GENE00483,G483,184.96,1.315,0.3605,0.0002645864780621569,0.0017255639873618928,Up,protein_coding
GENE00484,G484,371.54,-0.2799,0.2036,0.16920759324809853,0.33016115755726544,NS,protein_coding
GENE00485,G485,54.88,0.6905,0.3151,0.02842518588093156,0.08923942299056879,NS,protein_coding
GENE00486,G486,16.2,0.2074,0.3033,0.4940942620352827,0.6632137745440037,NS,protein_coding
GENE00487,G487,32.84,0.4239,0.337,0.2084411254236983,0.3844756800714737,NS,protein_coding
GENE00488,G488,65.32,0.3389,0.2928,0.24709045279049002,0.426018022052569,NS,protein_coding
GENE00489,G489,806.95,-1.53,0.2039,6.205149411621541e-14,1.2206851301550574e-12,Down,lncRNA
GENE00490,G490,45.86,-3.0895,0.2278,6.696941250782166e-42,3.6528770458811817e-40,Down,protein_coding
GENE00491,G491,284.48,0.0883,0.227,0.697285922755704,0.8195329160693876,NS,protein_coding
GENE00492,G492,311.6,0.7623,0.3594,0.03391885224172658,0.10304461440524532,NS,protein_coding
GENE00493,G493,769.94,0.4404,0.495,0.3736286215923531,0.5597432533218774,NS,protein_coding
GENE00494,G494,155.19,0.8017,0.1804,8.829614112486666e-06,7.419096064047245e-05,NS,protein_coding
GENE00495,G495,104.61,0.0159,0.2547,0.9502232845522689,0.9754216778979664,NS,protein_coding
GENE00496,G496,259.08,-0.9199,0.4493,0.0406181320317787,0.11801878556449016,NS,protein_coding
GENE00497,G497,91.75,0.3464,0.2848,0.2238736565958861,0.40381952775848456,NS,protein_coding
GENE00498,G498,19.19,-0.4448,0.42,0.2895780935272406,0.4772974838110107,NS,protein_coding
GENE00499,G499,186.48,0.1433,0.1903,0.45143696737765204,0.6277223184857271,NS,protein_coding
GENE00500,G500,41.0,0.1849,0.2311,0.42366065756932647,0.6045098562225824,NS,protein_coding
GENE00501,G501,3103.73,1.0296,0.1561,4.230488153319514e-11,6.868323571762969e-10,Up,protein_coding
GENE00502,G502,157.94,0.254,0.3419,0.45753781614695443,0.6316625182387837,NS,protein_coding
GENE00503,G503,103.08,0.3336,0.4239,0.43129470923635616,0.6109295203072458,NS,pseudogene
GENE00504,G504,1106.26,0.7436,0.4524,0.10024269937834607,0.2313293062577217,NS,protein_coding
GENE00505,G505,10.34,-0.4945,0.3982,0.2142962387449988,0.3920053147774369,NS,protein_coding
GENE00506,G506,395.05,-2.4948,0.4291,6.098670919424577e-09,7.86925279925752e-08,Down,lncRNA
GENE00507,G507,431.21,-0.3631,0.2975,0.22227379772032596,0.40291322849605915,NS,lncRNA
GENE00508,G508,403.96,0.6652,0.1636,4.782392669393384e-05,0.0003632196964096241,NS,protein_coding
GENE00509,G509,81.46,0.0142,0.3266,0.9653202934492227,0.9850207076012476,NS,protein_coding
GENE00510,G510,102.1,-1.1448,0.3777,0.002437638432411067,0.012500709909800341,Down,protein_coding
GENE00511,G511,79.47,0.8214,0.1833,7.4232028253056975e-06,6.454958978526692e-05,NS,protein_coding
GENE00512,G512,386.08,0.6966,0.2746,0.011187698944976803,0.04330722172249085,NS,protein_coding
GENE00513,G513,14.32,1.6999,0.3371,4.589670926335203e-07,4.628239589581717e-06,Up,protein_coding
GENE00514,G514,41.46,-0.283,0.3358,0.39936069744904756,0.5827502013996493,NS,lncRNA
GENE00515,G515,871.83,0.2661,0.1761,0.1307697882378298,0.2743422130863562,NS,protein_coding
GENE00516,G516,425.46,-1.2593,0.2803,7.0330310777148274e-06,6.251583180190957e-05,Down,protein_coding
GENE00517,G517,313.96,1.2899,0.4254,0.002427742797275331,0.012500709909800341,Up,protein_coding
GENE00518,G518,280.17,0.5536,0.342,0.10550893154439231,0.24070478679329044,NS,protein_coding
GENE00519,G519,78.29,0.4064,0.3614,0.26079428337571275,0.44077907049416243,NS,protein_coding
GENE00520,G520,784.11,-0.5132,0.3396,0.1307401424785451,0.2743422130863562,NS,protein_coding
GENE00521,G521,28.76,-0.7579,0.1704,8.676638048295559e-06,7.38437280706005e-05,NS,protein_coding
GENE00522,G522,62.24,-1.7091,0.4279,6.492469337664266e-05,0.0004779732027728294,Down,protein_coding
GENE00523,G523,2460.13,-0.1371,0.1584,0.38674779109037116,0.5709540058380209,NS,protein_coding
GENE00524,G524,74.27,-0.0324,0.2569,0.8996376386878117,0.9528377461830309,NS,lncRNA
GENE00525,G525,793.46,-0.7109,0.2961,0.016355784809691826,0.05893976507997054,NS,protein_coding
GENE00526,G526,1542.11,0.4449,0.2465,0.07109531620459288,0.18268603735655556,NS,protein_coding
GENE00527,G527,813.18,0.9147,0.4092,0.025395216751606078,0.08227891910434772,NS,pseudogene
GENE00528,G528,40.31,2.1777,0.3883,2.0433241667699958e-08,2.527823711468036e-07,Up,protein_coding
GENE00529,G529,613.47,-0.1217,0.4343,0.7793079213556691,0.8731393118559336,NS,lncRNA
GENE00530,G530,39.77,-0.3786,0.4651,0.41563435823215344,0.5991399605346108,NS,protein_coding
GENE00531,G531,554.69,0.3765,0.3703,0.3092756179800926,0.49528432659170557,NS,protein_coding
GENE00532,G532,14.65,-0.2004,0.2495,0.4218554395618046,0.604162673955835,NS,protein_coding
GENE00533,G533,92.77,-0.8022,0.1559,2.666583515247393e-07,2.7585346709455786e-06,NS,protein_coding
GENE00534,G534,73.98,-0.4987,0.2089,0.016974175443737503,0.06044216775218102,NS,protein_coding
GENE00535,G535,501.42,-1.202,0.3221,0.0001901463740298727,0.0012818856676171193,Down,protein_coding
GENE00536,G536,1446.37,-0.1166,0.2985,0.6960783134174011,0.8189156628440013,NS,protein_coding
GENE00537,G537,262.49,3.4967,0.4179,5.894708901319824e-17,1.3603174387661131e-15,Up,protein_coding
GENE00538,G538,630.01,-0.5391,0.4126,0.19135119910815024,0.35878349832778167,NS,protein_coding
GENE00539,G539,1515.66,-0.1196,0.4158,0.7736236335715032,0.8721147525027516,NS,protein_coding
GENE00540,G540,125.96,0.6128,0.1513,5.116702623518362e-05,0.00038616623573723487,NS,protein_coding
GENE00541,G541,292.32,0.7618,0.3987,0.056041883833186416,0.15284150136323568,NS,protein_coding
GENE00542,G542,18.37,0.0868,0.4835,0.8575260370836606,0.9245563742141892,NS,protein_coding
GENE00543,G543,577.58,-3.8131,0.2924,7.179703240581557e-39,3.7459321255208124e-37,Down,lncRNA
GENE00544,G544,133.62,0.8303,0.4796,0.083409973002731,0.20552765421617494,NS,protein_coding
GENE00545,G545,183.97,3.4303,0.1631,3.350883579874967e-98,6.701767159749934e-96,Up,protein_coding
