cell_id,sample_id,condition,pseudotime,score
C0594,Sti_S2,Stimulated,0.8051,4.181
C0595,Sti_S3,Stimulated,0.8214,4.71
C0596,Sti_S3,Stimulated,0.8817,4.096
C0597,Sti_S2,Stimulated,0.4536,3.873
C0598,Sti_S3,Stimulated,0.721,5.148
C0599,Sti_S1,Stimulated,0.8971,5.65
C0600,Sti_S3,Stimulated,0.5006,3.444
C0601,Sti_S2,Stimulated,0.5979,4.193
C0602,Sti_S2,Stimulated,0.5499,3.76
C0603,Sti_S3,Stimulated,0.459,4.101
C0604,Sti_S2,Stimulated,0.758,5.232
C0605,Sti_S2,Stimulated,0.7727,4.742
C0606,Sti_S1,Stimulated,0.4448,3.381
C0607,Sti_S2,Stimulated,0.5638,4.656
C0608,Sti_S2,Stimulated,0.4412,2.315
C0609,Sti_S3,Stimulated,0.7234,4.58
C0610,Sti_S3,Stimulated,0.6086,4.368
C0611,Sti_S3,Stimulated,0.3378,3.816
C0612,Sti_S1,Stimulated,0.4814,3.475
C0613,Sti_S3,Stimulated,0.8135,4.441
C0614,Sti_S3,Stimulated,0.4384,4.817
C0615,Sti_S3,Stimulated,0.3402,4.203
C0616,Sti_S1,Stimulated,0.4739,3.522
C0617,Sti_S3,Stimulated,0.6812,4.104
C0618,Sti_S1,Stimulated,0.2032,3.374
C0619,Sti_S2,Stimulated,0.7443,3.84
C0620,Sti_S3,Stimulated,0.7714,4.97
C0621,Sti_S1,Stimulated,0.9744,4.508
C0622,Sti_S2,Stimulated,0.2481,2.675
C0623,Sti_S3,Stimulated,0.8317,5.149
C0624,Sti_S1,Stimulated,0.3918,3.703
C0625,Sti_S2,Stimulated,0.599,3.843
C0626,Sti_S2,Stimulated,0.6012,4.123
C0627,Sti_S2,Stimulated,0.1897,2.546
C0628,Sti_S3,Stimulated,0.604,3.213
C0629,Sti_S3,Stimulated,0.4471,4.144
C0630,Sti_S2,Stimulated,0.737,4.991
C0631,Sti_S1,Stimulated,0.2907,4.121
C0632,Sti_S3,Stimulated,0.6759,4.272
C0633,Sti_S1,Stimulated,0.51,4.882
C0634,Sti_S3,Stimulated,0.7194,4.358
C0635,Sti_S1,Stimulated,0.8391,4.3
C0636,Sti_S2,Stimulated,0.721,4.516
C0637,Sti_S1,Stimulated,0.4544,3.595
C0638,Sti_S3,Stimulated,0.5405,4.824
C0639,Sti_S3,Stimulated,0.5217,3.014
C0640,Sti_S1,Stimulated,0.571,4.662
C0641,Sti_S2,Stimulated,0.7486,4.69
C0642,Sti_S3,Stimulated,0.3875,4.228
C0643,Sti_S3,Stimulated,0.4249,5.509
C0644,Sti_S3,Stimulated,0.4573,4.763
C0645,Sti_S2,Stimulated,0.6148,5.181
C0646,Sti_S2,Stimulated,0.5677,3.82
C0647,Sti_S3,Stimulated,0.3821,4.599
C0648,Sti_S1,Stimulated,0.6485,3.614
C0649,Sti_S3,Stimulated,0.6905,5.017
C0650,Sti_S1,Stimulated,0.5576,4.021
C0651,Sti_S3,Stimulated,0.8044,4.954
C0652,Sti_S1,Stimulated,0.5594,3.55
C0653,Sti_S1,Stimulated,0.4825,4.574
C0654,Sti_S2,Stimulated,0.4576,3.87
C0655,Sti_S1,Stimulated,0.6166,4.543
C0656,Sti_S3,Stimulated,0.5486,4.452
C0657,Sti_S3,Stimulated,0.6676,5.308
C0658,Sti_S1,Stimulated,0.5106,4.064
C0659,Sti_S3,Stimulated,0.5196,5.065
C0660,Sti_S2,Stimulated,0.801,3.981
C0661,Sti_S1,Stimulated,0.6566,4.697
C0662,Sti_S2,Stimulated,0.3288,2.742
C0663,Sti_S3,Stimulated,0.8628,5.232
C0664,Sti_S3,Stimulated,0.9532,5.083
C0665,Sti_S3,Stimulated,0.9262,5.523
C0666,Sti_S2,Stimulated,0.5073,3.819
C0667,Sti_S2,Stimulated,0.6153,4.644
C0668,Sti_S3,Stimulated,0.5419,4.642
C0669,Sti_S2,Stimulated,0.3356,4.086
C0670,Sti_S3,Stimulated,0.6119,4.922
C0671,Sti_S2,Stimulated,0.4258,4.823
C0672,Sti_S2,Stimulated,0.5509,3.846
C0673,Sti_S2,Stimulated,0.8363,6.372
C0674,Sti_S2,Stimulated,0.4914,4.028
C0675,Sti_S2,Stimulated,0.5619,5.018
C0676,Sti_S2,Stimulated,0.5096,3.108
C0677,Sti_S1,Stimulated,0.7126,4.222
C0678,Sti_S2,Stimulated,0.834,4.281
C0679,Sti_S1,Stimulated,0.7007,4.213
C0680,Sti_S1,Stimulated,0.5043,4.108
C0681,Sti_S1,Stimulated,0.55,3.657
C0682,Sti_S3,Stimulated,0.4353,3.935
C0683,Sti_S1,Stimulated,0.6386,5.666
C0684,Sti_S3,Stimulated,0.237,3.186
C0685,Sti_S1,Stimulated,0.6531,3.613
C0686,Sti_S2,Stimulated,0.5973,4.965
C0687,Sti_S2,Stimulated,0.6522,3.385
C0688,Sti_S3,Stimulated,0.4876,4.019
C0689,Sti_S3,Stimulated,0.6126,3.18
C0690,Sti_S1,Stimulated,0.7274,3.603
C0691,Sti_S2,Stimulated,0.902,4.027
C0692,Sti_S3,Stimulated,0.6422,3.749
C0693,Sti_S1,Stimulated,0.8381,4.178
C0694,Sti_S3,Stimulated,0.7672,4.299
C0695,Sti_S1,Stimulated,0.6081,3.668
C0696,Sti_S2,Stimulated,0.9316,5.236
C0697,Sti_S1,Stimulated,0.788,4.527
C0698,Sti_S2,Stimulated,0.7612,5.516
C0699,Sti_S1,Stimulated,0.3996,3.756
C0700,Sti_S2,Stimulated,0.5967,4.121
C0701,Inh_S3,Inhibited,0.196,3.56
C0702,Inh_S1,Inhibited,0.0,2.922
C0703,Inh_S2,Inhibited,0.2064,3.04
C0704,Inh_S1,Inhibited,0.5147,4.124
C0705,Inh_S1,Inhibited,0.3577,4.557
C0706,Inh_S3,Inhibited,0.3107,4.844
C0707,Inh_S3,Inhibited,0.2833,4.316
C0708,Inh_S1,Inhibited,0.1664,3.499
C0709,Inh_S3,Inhibited,0.4273,3.672
C0710,Inh_S2,Inhibited,0.4727,4.127
C0711,Inh_S1,Inhibited,0.1812,4.015
C0712,Inh_S1,Inhibited,0.4291,4.092
C0713,Inh_S2,Inhibited,0.1525,3.805
C0714,Inh_S3,Inhibited,0.2867,2.431
C0715,Inh_S3,Inhibited,0.6186,3.948
C0716,Inh_S2,Inhibited,0.3528,3.461
C0717,Inh_S2,Inhibited,0.4233,4.091
C0718,Inh_S1,Inhibited,0.0,2.944
C0719,Inh_S2,Inhibited,0.4725,3.682
C0720,Inh_S1,Inhibited,0.444,4.204
C0721,Inh_S2,Inhibited,0.1991,2.694
C0722,Inh_S2,Inhibited,0.2441,2.528
C0723,Inh_S3,Inhibited,0.1986,3.67
C0724,Inh_S3,Inhibited,0.1682,2.427
C0725,Inh_S3,Inhibited,0.099,3.761
C0726,Inh_S1,Inhibited,0.2664,2.219
C0727,Inh_S3,Inhibited,0.4267,3.623
C0728,Inh_S3,Inhibited,0.225,3.719
C0729,Inh_S3,Inhibited,0.5833,4.546
C0730,Inh_S3,Inhibited,0.1522,2.94
C0731,Inh_S1,Inhibited,0.403,3.986
C0732,Inh_S2,Inhibited,0.0407,3.513
C0733,Inh_S2,Inhibited,0.4386,3.073
C0734,Inh_S1,Inhibited,0.4386,4.49
C0735,Inh_S3,Inhibited,0.0,3.08
C0736,Inh_S3,Inhibited,0.2973,3.063
C0737,Inh_S2,Inhibited,0.4049,4.508
C0738,Inh_S3,Inhibited,0.0564,3.117
C0739,Inh_S2,Inhibited,0.0549,2.292
C0740,Inh_S1,Inhibited,0.5504,4.21
C0741,Inh_S3,Inhibited,0.3407,3.997
C0742,Inh_S1,Inhibited,0.0414,3.459
C0743,Inh_S3,Inhibited,0.0155,3.08
C0744,Inh_S3,Inhibited,0.2879,3.985
C0745,Inh_S1,Inhibited,0.4925,3.767
C0746,Inh_S1,Inhibited,0.3815,5.009
C0747,Inh_S3,Inhibited,0.1578,3.446
C0748,Inh_S3,Inhibited,0.2197,1.699
C0749,Inh_S3,Inhibited,0.079,3.601
C0750,Inh_S1,Inhibited,0.4232,3.529
C0751,Inh_S3,Inhibited,0.0836,3.413
C0752,Inh_S2,Inhibited,0.22,3.063
C0753,Inh_S3,Inhibited,0.1439,3.638
C0754,Inh_S1,Inhibited,0.3452,4.905
C0755,Inh_S1,Inhibited,0.1463,2.712
C0756,Inh_S3,Inhibited,0.1004,3.902
C0757,Inh_S1,Inhibited,0.1834,3.652
C0758,Inh_S3,Inhibited,0.351,3.737
C0759,Inh_S1,Inhibited,0.5342,5.606
C0760,Inh_S3,Inhibited,0.2981,5.003
C0761,Inh_S2,Inhibited,0.008,1.877
C0762,Inh_S2,Inhibited,0.3252,4.986
C0763,Inh_S1,Inhibited,0.1218,2.999
C0764,Inh_S1,Inhibited,0.4095,3.249
C0765,Inh_S3,Inhibited,0.2713,3.777
C0766,Inh_S3,Inhibited,0.5206,5.015
C0767,Inh_S1,Inhibited,0.0737,3.46
C0768,Inh_S2,Inhibited,0.0447,3.498
C0769,Inh_S1,Inhibited,0.2197,4.72
C0770,Inh_S3,Inhibited,0.0,2.292
C0771,Inh_S2,Inhibited,0.1515,3.992
C0772,Inh_S1,Inhibited,0.6792,6.268
C0773,Inh_S3,Inhibited,0.2995,4.961
C0774,Inh_S2,Inhibited,0.1621,3.125
C0775,Inh_S2,Inhibited,0.0164,1.994
C0776,Inh_S3,Inhibited,0.2346,3.232
C0777,Inh_S3,Inhibited,0.1538,3.912
C0778,Inh_S2,Inhibited,0.2611,3.452
C0779,Inh_S1,Inhibited,0.1976,3.513
C0780,Inh_S1,Inhibited,0.1074,3.175
C0781,Inh_S2,Inhibited,0.0,3.078
C0782,Inh_S3,Inhibited,0.1871,1.905
C0783,Inh_S1,Inhibited,0.5629,3.521
C0784,Inh_S1,Inhibited,0.0639,4.499
C0785,Inh_S3,Inhibited,0.3189,4.323
C0786,Inh_S1,Inhibited,0.192,3.268
C0787,Inh_S1,Inhibited,0.6085,5.563
C0788,Inh_S2,Inhibited,0.1732,3.148
C0789,Inh_S1,Inhibited,0.3548,4.882
C0790,Inh_S3,Inhibited,0.3559,3.128
C0791,Inh_S1,Inhibited,0.3841,3.117
C0792,Inh_S2,Inhibited,0.0,3.103
C0793,Inh_S3,Inhibited,0.073,1.834
C0794,Inh_S3,Inhibited,0.7051,3.18
C0795,Inh_S3,Inhibited,0.3814,3.416
C0796,Inh_S2,Inhibited,0.186,3.335
C0797,Inh_S2,Inhibited,0.3501,3.745
C0798,Inh_S3,Inhibited,0.0,4.247
C0799,Inh_S3,Inhibited,0.302,3.846
C0800,Inh_S2,Inhibited,0.2701,3.483
C0801,Inh_S2,Inhibited,0.0628,3.413
C0802,Inh_S3,Inhibited,0.3897,2.641
C0803,Inh_S2,Inhibited,0.1791,2.813
C0804,Inh_S1,Inhibited,0.0405,3.818
C0805,Inh_S2,Inhibited,0.0,3.064
C0806,Inh_S3,Inhibited,0.411,3.622
C0807,Inh_S2,Inhibited,0.3611,2.809
C0808,Inh_S3,Inhibited,0.0977,2.794
C0809,Inh_S2,Inhibited,0.4511,4.474
C0810,Inh_S1,Inhibited,0.0627,2.018
C0811,Inh_S2,Inhibited,0.0399,1.82
C0812,Inh_S1,Inhibited,0.6008,3.459
C0813,Inh_S2,Inhibited,0.0979,2.386
C0814,Inh_S1,Inhibited,0.0336,3.388
C0815,Inh_S3,Inhibited,0.3518,4.667
C0816,Inh_S2,Inhibited,0.2792,3.836
C0817,Inh_S2,Inhibited,0.0865,3.477
C0818,Inh_S1,Inhibited,0.1081,3.598
C0819,Inh_S3,Inhibited,0.0389,3.581
C0820,Inh_S3,Inhibited,0.1659,4.086
C0821,Inh_S1,Inhibited,0.0712,3.315
C0822,Inh_S3,Inhibited,0.3611,3.739
C0823,Inh_S2,Inhibited,0.6559,4.836
C0824,Inh_S3,Inhibited,0.1186,3.421
C0825,Inh_S3,Inhibited,0.3806,3.615
C0826,Inh_S2,Inhibited,0.058,1.882
C0827,Inh_S2,Inhibited,0.3537,4.149
C0828,Inh_S2,Inhibited,0.3749,4.045
C0829,Inh_S1,Inhibited,0.3712,3.353
C0830,Inh_S2,Inhibited,0.3914,3.613
C0831,Inh_S3,Inhibited,0.4558,4.933
C0832,Inh_S1,Inhibited,0.1839,5.055
C0833,Inh_S2,Inhibited,0.4561,2.691
C0834,Inh_S1,Inhibited,0.1813,3.255
C0835,Inh_S1,Inhibited,0.581,3.837
C0836,Inh_S2,Inhibited,0.0,2.659
C0837,Inh_S2,Inhibited,0.314,3.128
C0838,Inh_S1,Inhibited,0.3021,3.599
C0839,Inh_S1,Inhibited,0.564,4.407
C0840,Inh_S2,Inhibited,0.1039,3.21
C0841,Inh_S3,Inhibited,0.1854,2.974
C0842,Inh_S2,Inhibited,0.3148,3.632
C0843,Inh_S2,Inhibited,0.0841,3.219
C0844,Inh_S1,Inhibited,0.0013,1.736
C0845,Inh_S2,Inhibited,0.3326,3.219
C0846,Inh_S3,Inhibited,0.2164,2.097
C0847,Inh_S2,Inhibited,0.2192,3.693
C0848,Inh_S2,Inhibited,0.0,1.956
C0849,Inh_S3,Inhibited,0.633,4.165
C0850,Inh_S1,Inhibited,0.6014,4.962
C0851,Inh_S1,Inhibited,0.2837,4.708
C0852,Inh_S2,Inhibited,0.0358,4.069
C0853,Inh_S1,Inhibited,0.1183,3.407
C0854,Inh_S1,Inhibited,0.1395,2.899
C0855,Inh_S2,Inhibited,0.4739,3.846
C0856,Inh_S1,Inhibited,0.4496,4.692
C0857,Inh_S2,Inhibited,0.4615,3.768
C0858,Inh_S1,Inhibited,0.518,4.297
C0859,Inh_S3,Inhibited,0.179,3.838
C0860,Inh_S3,Inhibited,0.0836,2.937
C0861,Inh_S1,Inhibited,0.2388,4.724
C0862,Inh_S2,Inhibited,0.6107,5.673
C0863,Inh_S1,Inhibited,0.3221,4.553
C0864,Inh_S2,Inhibited,0.2579,3.863
C0865,Inh_S3,Inhibited,0.1353,3.902
C0866,Inh_S3,Inhibited,0.3392,3.966
C0867,Inh_S1,Inhibited,0.0934,3.659
C0868,Inh_S3,Inhibited,0.1932,4.435
C0869,Inh_S3,Inhibited,0.5036,3.4
C0870,Inh_S3,Inhibited,0.1379,3.018
C0871,Inh_S1,Inhibited,0.2565,2.463
C0872,Inh_S2,Inhibited,0.2307,3.413
C0873,Inh_S1,Inhibited,0.0126,3.348
C0874,Inh_S3,Inhibited,0.1277,3.361
C0875,Inh_S2,Inhibited,0.2951,4.267
C0876,Inh_S3,Inhibited,0.1222,3.654
C0877,Inh_S3,Inhibited,0.1342,4.455
C0878,Inh_S2,Inhibited,0.0953,2.914
C0879,Inh_S3,Inhibited,0.0033,3.163
C0880,Inh_S3,Inhibited,0.085,2.668
C0881,Inh_S3,Inhibited,0.2595,3.931
C0882,Inh_S1,Inhibited,0.1847,3.516
C0883,Inh_S2,Inhibited,0.2289,4.489
C0884,Inh_S2,Inhibited,0.1746,2.9
C0885,Inh_S2,Inhibited,0.2931,3.511
C0886,Inh_S2,Inhibited,0.2377,3.299
C0887,Inh_S1,Inhibited,0.525,3.461
C0888,Inh_S3,Inhibited,0.1203,1.665
C0889,Inh_S2,Inhibited,0.4216,3.515
C0890,Inh_S1,Inhibited,0.2841,3.739
C0891,Inh_S2,Inhibited,0.0904,4.704
C0892,Inh_S1,Inhibited,0.0199,3.336
C0893,Inh_S1,Inhibited,0.4383,1.854
C0894,Inh_S1,Inhibited,0.2462,3.755
C0895,Inh_S1,Inhibited,0.3531,4.007
C0896,Inh_S3,Inhibited,0.2312,4.052
C0897,Inh_S1,Inhibited,0.3454,3.655
C0898,Inh_S2,Inhibited,0.2966,4.685
C0899,Inh_S1,Inhibited,0.4441,4.06
C0900,Inh_S2,Inhibited,0.5302,3.318
C0901,Inh_S2,Inhibited,0.4459,3.881
C0902,Inh_S2,Inhibited,0.151,2.651
C0903,Inh_S2,Inhibited,0.3104,2.742
C0904,Inh_S3,Inhibited,0.0,4.976
C0905,Inh_S3,Inhibited,0.1868,3.013
C0906,Inh_S2,Inhibited,0.5328,4.769
C0907,Inh_S3,Inhibited,0.1678,3.812
C0908,Inh_S2,Inhibited,0.0803,3.007
C0909,Inh_S1,Inhibited,0.4489,4.11
C0910,Inh_S3,Inhibited,0.405,3.771
C0911,Inh_S3,Inhibited,0.2119,3.557
C0912,Inh_S1,Inhibited,0.452,4.534
C0913,Inh_S1,Inhibited,0.32,3.623
C0914,Inh_S3,Inhibited,0.3125,4.011
C0915,Inh_S2,Inhibited,0.6948,3.756
C0916,Inh_S3,Inhibited,0.2144,4.413
C0917,Inh_S3,Inhibited,0.0884,3.312
C0918,Inh_S1,Inhibited,0.3586,4.378
C0919,Inh_S3,Inhibited,0.5076,2.881
C0920,Inh_S2,Inhibited,0.4193,3.257
C0921,Inh_S1,Inhibited,0.6484,4.005
C0922,Inh_S1,Inhibited,0.2477,2.609
C0923,Inh_S1,Inhibited,0.3315,3.79
C0924,Inh_S3,Inhibited,0.1863,4.16
C0925,Inh_S3,Inhibited,0.2479,2.669
C0926,Inh_S3,Inhibited,0.0,2.198
C0927,Inh_S3,Inhibited,0.1371,2.922
C0928,Inh_S3,Inhibited,0.25,4.145
C0929,Inh_S2,Inhibited,0.3887,3.969
C0930,Inh_S2,Inhibited,0.3656,4.542
C0931,Inh_S3,Inhibited,0.2624,2.996
C0932,Inh_S3,Inhibited,0.1151,4.663
C0933,Inh_S3,Inhibited,0.2811,3.507
C0934,Inh_S1,Inhibited,0.2708,4.112
C0935,Inh_S2,Inhibited,0.4653,3.273
C0936,Inh_S2,Inhibited,0.3765,3.364
C0937,Inh_S2,Inhibited,0.3804,4.19
C0938,Inh_S1,Inhibited,0.087,3.275
C0939,Inh_S3,Inhibited,0.3175,3.678
C0940,Inh_S2,Inhibited,0.0095,3.643
C0941,Inh_S3,Inhibited,0.0197,3.474
C0942,Inh_S3,Inhibited,0.2849,3.499
C0943,Inh_S3,Inhibited,0.1921,2.609
C0944,Inh_S1,Inhibited,0.4073,3.549
C0945,Inh_S3,Inhibited,0.0387,1.333
C0946,Inh_S3,Inhibited,0.2053,3.349
C0947,Inh_S3,Inhibited,0.285,4.448
C0948,Inh_S1,Inhibited,0.0551,3.36
C0949,Inh_S3,Inhibited,0.3819,3.499
C0950,Inh_S1,Inhibited,0.3951,3.29
C0951,Inh_S3,Inhibited,0.3246,3.926
C0952,Inh_S1,Inhibited,0.1481,3.136
C0953,Inh_S3,Inhibited,0.521,4.342
C0954,Inh_S3,Inhibited,0.0,3.491
C0955,Inh_S1,Inhibited,0.2304,3.723
C0956,Inh_S2,Inhibited,0.0,3.443
C0957,Inh_S3,Inhibited,0.1508,3.068
C0958,Inh_S2,Inhibited,0.5879,3.038
C0959,Inh_S1,Inhibited,0.1293,3.791
C0960,Inh_S2,Inhibited,0.1669,4.643
C0961,Inh_S1,Inhibited,0.0,3.256
C0962,Inh_S2,Inhibited,0.2347,2.34
C0963,Inh_S2,Inhibited,0.1654,3.56
C0964,Inh_S1,Inhibited,0.4165,4.005
C0965,Inh_S3,Inhibited,0.2913,3.584
C0966,Inh_S2,Inhibited,0.115,4.197
C0967,Inh_S2,Inhibited,0.3119,3.523
C0968,Inh_S2,Inhibited,0.3797,4.278
C0969,Inh_S3,Inhibited,0.3964,4.247
C0970,Inh_S1,Inhibited,0.0,4.655
C0971,Inh_S1,Inhibited,0.0,4.211
C0972,Inh_S3,Inhibited,0.1656,3.695
C0973,Inh_S3,Inhibited,0.6119,2.862
C0974,Inh_S2,Inhibited,0.3632,5.439
C0975,Inh_S3,Inhibited,0.3911,4.728
C0976,Inh_S2,Inhibited,0.5665,3.177
C0977,Inh_S3,Inhibited,0.293,4.165
C0978,Inh_S1,Inhibited,0.3221,3.852
C0979,Inh_S3,Inhibited,0.0,2.178
C0980,Inh_S3,Inhibited,0.4935,2.37
C0981,Inh_S1,Inhibited,0.0,3.458
C0982,Inh_S2,Inhibited,0.485,3.195
C0983,Inh_S3,Inhibited,0.0,4.479
C0984,Inh_S3,Inhibited,0.2057,4.041
C0985,Inh_S3,Inhibited,0.0889,3.403
C0986,Inh_S3,Inhibited,0.2405,3.492
C0987,Inh_S3,Inhibited,0.4367,3.06
C0988,Inh_S2,Inhibited,0.2224,3.535
C0989,Inh_S1,Inhibited,0.0603,3.239
C0990,Inh_S2,Inhibited,0.1245,2.811
C0991,Inh_S1,Inhibited,0.2419,3.451
C0992,Inh_S2,Inhibited,0.4975,4.222
C0993,Inh_S1,Inhibited,0.2469,3.631
C0994,Inh_S2,Inhibited,0.4407,3.881
C0995,Inh_S3,Inhibited,0.2029,3.254
C0996,Inh_S2,Inhibited,0.2064,3.539
C0997,Inh_S1,Inhibited,0.4433,4.378
C0998,Inh_S1,Inhibited,0.4641,4.287
C0999,Inh_S1,Inhibited,0.4808,3.896
C1000,Inh_S2,Inhibited,0.0,2.144
C1001,Inh_S3,Inhibited,0.093,1.863
C1002,Inh_S3,Inhibited,0.4394,4.123
C1003,Inh_S2,Inhibited,0.3097,3.262
C1004,Inh_S2,Inhibited,0.3383,3.245
C1005,Inh_S2,Inhibited,0.1624,2.723
C1006,Inh_S2,Inhibited,0.0,3.306
C1007,Inh_S1,Inhibited,0.2324,3.346
C1008,Inh_S1,Inhibited,0.3291,3.744
C1009,Inh_S2,Inhibited,0.0,2.824
C1010,Inh_S2,Inhibited,0.2743,3.976
C1011,Inh_S3,Inhibited,0.1726,3.944
C1012,Inh_S3,Inhibited,0.1892,2.233
C1013,Inh_S2,Inhibited,0.2292,5.461
C1014,Inh_S3,Inhibited,0.4145,4.045
C1015,Inh_S2,Inhibited,0.1642,3.56
C1016,Inh_S2,Inhibited,0.1119,3.281
C1017,Inh_S3,Inhibited,0.0,2.727
C1018,Inh_S1,Inhibited,0.572,3.762
C1019,Inh_S2,Inhibited,0.278,3.358
C1020,Inh_S3,Inhibited,0.1376,2.807
C1021,Inh_S1,Inhibited,0.3171,3.944
C1022,Inh_S2,Inhibited,0.366,4.291
C1023,Inh_S2,Inhibited,0.5306,3.263
C1024,Inh_S1,Inhibited,0.0897,3.204
C1025,Inh_S3,Inhibited,0.4679,1.802
C1026,Inh_S3,Inhibited,0.4686,2.938
C1027,Inh_S1,Inhibited,0.3126,1.863
C1028,Inh_S1,Inhibited,0.0107,2.706
C1029,Inh_S3,Inhibited,0.2621,4.597
C1030,Inh_S2,Inhibited,0.2677,2.034
C1031,Inh_S2,Inhibited,0.3065,2.185
C1032,Inh_S3,Inhibited,0.1415,4.186
C1033,Inh_S1,Inhibited,0.2166,3.616
C1034,Inh_S2,Inhibited,0.9026,5.739
C1035,Inh_S3,Inhibited,0.4642,4.06
C1036,Inh_S3,Inhibited,0.5135,3.388
C1037,Inh_S3,Inhibited,0.2268,3.557
C1038,Inh_S2,Inhibited,0.3117,4.277
C1039,Inh_S3,Inhibited,0.1993,3.849
C1040,Inh_S2,Inhibited,0.0582,3.008
C1041,Inh_S2,Inhibited,0.2382,3.555
C1042,Inh_S3,Inhibited,0.2915,4.349
C1043,Inh_S1,Inhibited,0.2136,3.99
C1044,Inh_S2,Inhibited,0.4942,4.786
C1045,Inh_S1,Inhibited,0.271,3.528
C1046,Inh_S3,Inhibited,0.3378,3.545
C1047,Inh_S2,Inhibited,0.2321,2.472
C1048,Inh_S3,Inhibited,0.2179,4.503
C1049,Inh_S2,Inhibited,0.3124,4.211
C1050,Inh_S2,Inhibited,0.2538,3.408
